531,Base Transformer,Linear Expansion,Manual Expansion,Transformer Encoder,LSTM
91,0.292097151,17.13747646,0.30137825,0.538829327,0.539011449
92,0.292260706,17.32580038,0.30400908,0.545523494,0.541481555
93,0.29303503,17.51412429,0.308286726,0.546397895,0.542893171
94,0.293498755,17.70244821,0.311182439,0.552469343,0.543392837
95,0.294281363,17.89077213,0.31356287,0.558794618,0.543819815
96,0.294799984,18.07909605,0.31381321,0.559370011,0.545260608
97,0.295015812,18.26741996,0.314368784,0.559370846,0.546515524
98,0.295015812,18.45574388,0.314470172,0.561352193,0.5475007
99,0.296866417,18.6440678,0.315570116,0.566185623,0.547748178
100,0.297345996,18.83239171,0.316678882,0.567638069,0.547909141
101,0.299949944,19.02071563,0.317224205,0.567750782,0.549868435
102,0.300417602,19.20903955,0.318440318,0.569239885,0.551299274
103,0.302181721,19.39736347,0.31889236,0.570333093,0.553834468
104,0.303323925,19.58568738,0.321764946,0.572582096,0.55769363
105,0.30422616,19.7740113,0.323687673,0.574998498,0.561458319
106,0.304502726,19.96233522,0.324703634,0.575338423,0.565183401
107,0.304736912,20.15065913,0.32814461,0.576227874,0.569559216
108,0.306351423,20.33898305,0.333016157,0.576603085,0.574400991
109,0.307871819,20.52730697,0.334056497,0.57708618,0.575045437
110,0.311179042,20.71563089,0.334338307,0.583136261,0.575181961
111,0.312611222,20.9039548,0.33671999,0.583303422,0.578484565
112,0.313788354,21.09227872,0.338373303,0.584348142,0.580186367
113,0.314486921,21.28060264,0.338789225,0.586499691,0.582001626
114,0.316213191,21.46892655,0.340488076,0.587253988,0.583212018
115,0.316904187,21.65725047,0.340773463,0.588317424,0.583682477
116,0.318882704,21.84557439,0.342664003,0.589005321,0.585788012
117,0.32468009,22.03389831,0.342966676,0.589712888,0.587285906
118,0.326497138,22.22222222,0.343972564,0.591902077,0.588801175
119,0.328708351,22.41054614,0.346014738,0.592553049,0.590866327
120,0.32885325,22.59887006,0.348810494,0.592694253,0.593362868
121,0.339150846,22.78719397,0.348902166,0.595805913,0.594435036
122,0.339356184,22.97551789,0.352214456,0.599947453,0.596548706
123,0.34046787,23.16384181,0.352717757,0.601375729,0.596722811
124,0.342807114,23.35216573,0.353455722,0.601578057,0.596965224
125,0.346522212,23.54048964,0.353723466,0.601988196,0.597242951
126,0.34850812,23.72881356,0.353855908,0.602309644,0.599674284
127,0.349987328,23.91713748,0.355232716,0.602416515,0.599710464
128,0.351581454,24.10546139,0.359506726,0.60256657,0.601745695
129,0.353090465,24.29378531,0.36132288,0.603169501,0.603083134
130,0.353664815,24.48210923,0.362223208,0.603697032,0.603789151
131,0.354765475,24.67043315,0.363643885,0.603872359,0.604399711
132,0.357099533,24.85875706,0.364207089,0.604669839,0.605177641
133,0.359607518,25.04708098,0.364327788,0.605498195,0.606444925
134,0.364062667,25.2354049,0.36447227,0.605682462,0.606615663
135,0.368795514,25.42372881,0.368209839,0.605818748,0.608656049
136,0.370597422,25.61205273,0.370157301,0.606589079,0.608731091
137,0.370745301,25.80037665,0.37294513,0.606942564,0.612475902
138,0.37529999,25.98870056,0.374240041,0.607240945,0.613064051
139,0.375666499,26.17702448,0.376226664,0.607358247,0.617287427
140,0.37586832,26.3653484,0.37831974,0.607676387,0.617459148
141,0.378522277,26.55367232,0.384496868,0.609353632,0.61904636
142,0.382798493,26.74199623,0.385391355,0.610333532,0.62055254
143,0.383104742,26.93032015,0.388070285,0.61121428,0.622331917
144,0.383225679,27.11864407,0.391465783,0.6135782,0.622776777
145,0.386051774,27.30696798,0.392173648,0.613700897,0.623563677
146,0.387394845,27.4952919,0.393069685,0.61817804,0.627736211
147,0.387741983,27.68361582,0.393159747,0.620683134,0.630444169
148,0.388211727,27.87193974,0.393283606,0.620739371,0.631094128
149,0.388715386,28.06026365,0.395125628,0.6208269,0.631268233
150,0.390033662,28.24858757,0.398338258,0.620855957,0.631390631
151,0.390686393,28.43691149,0.39850384,0.621516883,0.631912768
152,0.391463101,28.6252354,0.400239527,0.623010814,0.632280082
153,0.392744541,28.81355932,0.401127815,0.62315467,0.634203643
154,0.393428028,29.00188324,0.40299511,0.623888522,0.634647012
155,0.394261122,29.19020716,0.404822111,0.626369745,0.637553245
156,0.395066142,29.37853107,0.409052372,0.628367335,0.637842923
157,0.395865202,29.56685499,0.41039139,0.629710823,0.638552159
158,0.400466084,29.75517891,0.41339457,0.630249351,0.639141202
159,0.401316941,29.94350282,0.414287031,0.63025555,0.639239222
160,0.402400434,30.13182674,0.414524376,0.630536258,0.640581787
161,0.406191528,30.32015066,0.415237367,0.633667082,0.641034931
162,0.409377635,30.50847458,0.415752351,0.634475589,0.642798245
163,0.410516024,30.69679849,0.418678164,0.634676993,0.643744528
164,0.41173619,30.88512241,0.418698788,0.635235369,0.644368142
165,0.411800206,31.07344633,0.418704391,0.635498673,0.644395649
166,0.41373843,31.26177024,0.421827257,0.635954469,0.644480139
167,0.416322529,31.45009416,0.422467053,0.638141781,0.64568004
168,0.419197977,31.63841808,0.422737777,0.639461488,0.645700455
169,0.423199356,31.826742,0.423300207,0.639683872,0.645715684
170,0.423786104,32.01506591,0.424935639,0.64022094,0.646068215
171,0.424555123,32.20338983,0.428755343,0.640773505,0.646119148
172,0.428109348,32.39171375,0.430680454,0.641287416,0.646445543
173,0.432356298,32.58003766,0.432361484,0.64196375,0.646903664
174,0.434933186,32.76836158,0.435509682,0.642280221,0.646932334
175,0.437498629,32.9566855,0.435635328,0.642409086,0.64725697
176,0.437784493,33.14500942,0.436288059,0.643675685,0.647338837
177,0.437953234,33.33333333,0.436984956,0.643737972,0.648054481
178,0.438512683,33.52165725,0.439450264,0.644544303,0.649016172
179,0.440326333,33.70998117,0.439597905,0.64663437,0.64949286
180,0.441531897,33.89830508,0.446555138,0.648997337,0.649662793
181,0.44243443,34.086629,0.446556509,0.652103662,0.650562257
182,0.44431448,34.27495292,0.447299182,0.654065788,0.651648074
183,0.44480139,34.46327684,0.447349608,0.654973567,0.652263135
184,0.445863366,34.65160075,0.448714972,0.655882001,0.65301913
185,0.446380019,34.83992467,0.449290991,0.656311512,0.654136568
186,0.447799325,35.02824859,0.450878382,0.657378793,0.654187351
187,0.448020279,35.2165725,0.454241097,0.6587421,0.654314518
188,0.448201358,35.40489642,0.45776099,0.658964634,0.655276835
189,0.448343635,35.59322034,0.458835542,0.659414291,0.656122595
190,0.448879063,35.78154426,0.459542096,0.65981853,0.658812255
191,0.449572325,35.96986817,0.462135911,0.659983635,0.659151316
192,0.449673891,36.15819209,0.462444246,0.661441028,0.66058141
193,0.453378558,36.34651601,0.464148223,0.662518084,0.661091715
194,0.454878032,36.53483992,0.465511501,0.663271576,0.661549628
195,0.455226541,36.72316384,0.465692163,0.663879871,0.662276775
196,0.456048071,36.91148776,0.469465435,0.664011151,0.662734509
197,0.457016349,37.09981168,0.469784081,0.664203554,0.663944006
198,0.457132399,37.28813559,0.471340835,0.665381253,0.664360046
199,0.458103299,37.47645951,0.472191155,0.665586799,0.664546251
200,0.46192795,37.66478343,0.472586274,0.665988117,0.665508211
201,0.464513719,37.85310734,0.474748671,0.666102588,0.665670633
202,0.466920912,38.04143126,0.475321174,0.666535378,0.66608119
203,0.468344569,38.22975518,0.47543329,0.667397916,0.668793589
204,0.468393683,38.4180791,0.47593379,0.669057459,0.669716477
205,0.469768107,38.60640301,0.477643371,0.669224977,0.669863939
206,0.475647748,38.79472693,0.47948581,0.669941753,0.670045465
207,0.476918936,38.98305085,0.479930282,0.670472622,0.670200169
208,0.479071856,39.17137476,0.481353998,0.670634687,0.670217872
209,0.479310811,39.35969868,0.485876322,0.670748919,0.670347154
210,0.48535496,39.5480226,0.48719269,0.671783507,0.670797825
211,0.48723191,39.73634652,0.487797499,0.673085481,0.670876563
212,0.488806248,39.92467043,0.487861514,0.673967272,0.671121448
213,0.489021778,40.11299435,0.492192805,0.674336404,0.671907008
214,0.490469873,40.30131827,0.492965758,0.674381346,0.673867106
215,0.490876853,40.48964218,0.493391752,0.674426466,0.67393434
216,0.491565824,40.6779661,0.494487941,0.676730096,0.675127327
217,0.49195087,40.86629002,0.496485829,0.677257836,0.676665753
218,0.492029488,41.05461394,0.49776113,0.678411484,0.677120537
219,0.493250132,41.24293785,0.498773336,0.678769529,0.678279251
220,0.498306334,41.43126177,0.499445319,0.678792059,0.678565472
221,0.498829961,41.61958569,0.499710679,0.679789871,0.678577751
222,0.499049544,41.8079096,0.505072087,0.679927617,0.678614229
223,0.499368727,41.99623352,0.506077737,0.680003643,0.678890795
224,0.502124131,42.18455744,0.507689983,0.680107445,0.678968936
225,0.503603011,42.37288136,0.508708209,0.681024373,0.679356426
226,0.507370114,42.56120527,0.510372311,0.681587398,0.6795609
227,0.508360654,42.74952919,0.51060465,0.682650745,0.68065989
228,0.508762777,42.93785311,0.510616601,0.6831806,0.680855542
229,0.511377931,43.12617702,0.513339549,0.683223099,0.680869132
230,0.514028013,43.31450094,0.51433897,0.684220254,0.68105498
231,0.51675579,43.50282486,0.51881054,0.686108887,0.682661206
232,0.517618299,43.69114878,0.521512717,0.686520725,0.682831556
233,0.518039316,43.87947269,0.522770435,0.686592847,0.683104575
234,0.518812329,44.06779661,0.522783607,0.687111437,0.683307409
235,0.519311726,44.25612053,0.525516242,0.687243491,0.684135854
236,0.519730985,44.44444444,0.525933653,0.688957721,0.684315562
237,0.520450622,44.63276836,0.527116537,0.69007507,0.684759319
238,0.520797253,44.82109228,0.528345644,0.690525353,0.686341941
239,0.52293396,45.0094162,0.52960515,0.690713078,0.686724037
240,0.524509668,45.19774011,0.531514198,0.690724641,0.687014997
241,0.524664313,45.38606403,0.531745404,0.691200763,0.688015372
242,0.524868608,45.57438795,0.533577621,0.692100197,0.68846637
243,0.524909616,45.76271186,0.534631401,0.692483455,0.690717399
244,0.526954323,45.95103578,0.534792989,0.692585379,0.690808177
245,0.52815026,46.1393597,0.535377204,0.692608505,0.690872401
246,0.530758649,46.32768362,0.536358923,0.692721516,0.690962791
247,0.53324914,46.51600753,0.536646873,0.693119347,0.69117716
248,0.533575207,46.70433145,0.538235784,0.693152696,0.692313999
249,0.534590244,46.89265537,0.5390037,0.693541378,0.692687303
250,0.534828931,47.08097928,0.539214075,0.693547845,0.693992525
251,0.53494069,47.2693032,0.540869683,0.694961607,0.695006788
252,0.53654933,47.45762712,0.540927052,0.695117444,0.695310205
253,0.536801249,47.64595104,0.542085916,0.695327103,0.695367098
254,0.537973106,47.83427495,0.542478114,0.695405543,0.695647269
255,0.540901721,48.02259887,0.543252885,0.695418477,0.695686787
256,0.542803437,48.21092279,0.544155926,0.696146935,0.695991963
257,0.543269753,48.3992467,0.544599265,0.696160823,0.700081021
258,0.543959469,48.58757062,0.548014939,0.696518481,0.700209856
259,0.544761032,48.77589454,0.548629075,0.697164506,0.700450689
260,0.544867873,48.96421846,0.549722046,0.697653532,0.700705528
261,0.547408611,49.15254237,0.550898641,0.698871404,0.70083046
262,0.548438042,49.34086629,0.551114351,0.699236989,0.701097369
263,0.551324904,49.52919021,0.551422924,0.700183421,0.701485485
264,0.552330613,49.71751412,0.555583388,0.700206012,0.70156759
265,0.55303213,49.90583804,0.557110459,0.700501442,0.701720029
266,0.557760477,50.09416196,0.561199218,0.700613856,0.701834857
267,0.558189869,50.28248588,0.56171906,0.700916469,0.702793211
268,0.561129034,50.47080979,0.563301504,0.701378912,0.703182787
269,0.563132316,50.65913371,0.563453972,0.70377931,0.703739524
270,0.564224452,50.84745763,0.565004319,0.7060588,0.704109281
271,0.564822525,51.03578154,0.565812171,0.706132799,0.704653144
272,0.565386176,51.22410546,0.567346126,0.706284404,0.704731733
273,0.56544888,51.41242938,0.567814976,0.706291109,0.704861969
274,0.566392541,51.6007533,0.569171101,0.706687152,0.70491913
275,0.568083942,51.78907721,0.569844574,0.70705393,0.706210673
276,0.569532275,51.97740113,0.572008073,0.708145738,0.706729323
277,0.569865018,52.16572505,0.572594225,0.709002763,0.707001507
278,0.569936007,52.35404896,0.574525476,0.70981589,0.707613498
279,0.57180962,52.54237288,0.574599594,0.709985018,0.707707256
280,0.572270781,52.7306968,0.57711041,0.712362766,0.708520949
281,0.572896659,52.91902072,0.577727407,0.712912977,0.708865643
282,0.575077891,53.10734463,0.578473538,0.713422239,0.709022343
283,0.57559064,53.29566855,0.579242557,0.713699937,0.70932588
284,0.575619042,53.48399247,0.57991308,0.714077055,0.710635543
285,0.57567063,53.67231638,0.58151269,0.714230061,0.711108685
286,0.576139092,53.8606403,0.583002597,0.714232177,0.712045848
287,0.577090502,54.04896422,0.583265632,0.714249015,0.712190896
288,0.577202052,54.23728814,0.583394289,0.714313477,0.712193221
289,0.577950627,54.42561205,0.583726197,0.716078311,0.713753223
290,0.578882992,54.61393597,0.584362835,0.717172712,0.714126527
291,0.581535995,54.80225989,0.584726989,0.717289358,0.714309692
292,0.582832068,54.9905838,0.585088938,0.717409641,0.714427024
293,0.583118111,55.17890772,0.585375428,0.71873796,0.714813054
294,0.583775371,55.36723164,0.585767269,0.718771517,0.715090841
295,0.583980709,55.55555556,0.587230206,0.718880355,0.715854764
296,0.587813258,55.74387947,0.587520838,0.719305247,0.716892689
297,0.588776469,55.93220339,0.589202255,0.719736457,0.716914564
298,0.589855671,56.12052731,0.5936369,0.720106035,0.717550516
299,0.591737807,56.30885122,0.595183283,0.721845478,0.71761179
300,0.593746603,56.49717514,0.596169472,0.722989172,0.717772663
301,0.596229136,56.68549906,0.597006768,0.723597229,0.718070537
302,0.59649536,56.87382298,0.597190112,0.723862529,0.718145728
303,0.596522868,57.06214689,0.597845942,0.724072725,0.719245076
304,0.599243343,57.25047081,0.598226249,0.724132687,0.719953269
305,0.602732301,57.43879473,0.599508554,0.725144029,0.721983403
306,0.603479415,57.62711864,0.60032171,0.725505263,0.721992821
307,0.603706896,57.81544256,0.600765556,0.725918472,0.722362041
308,0.604537934,58.00376648,0.600775123,0.726818919,0.723183244
309,0.605617791,58.1920904,0.601171613,0.726874858,0.723236054
310,0.606098235,58.38041431,0.601177275,0.726928562,0.723389655
311,0.606768698,58.56873823,0.602104962,0.728252679,0.723519057
312,0.607850611,58.75706215,0.602192819,0.729587972,0.723741531
313,0.611969858,58.94538606,0.603130966,0.730259538,0.724207252
314,0.613933414,59.13370998,0.606963634,0.730487019,0.725092411
315,0.616087943,59.3220339,0.607424051,0.731355458,0.725328594
316,0.617401481,59.51035782,0.607593715,0.731412619,0.725611418
317,0.623828173,59.69868173,0.610158563,0.732057482,0.72573936
318,0.623876899,59.88700565,0.610965014,0.732781619,0.726108372
319,0.624248177,60.07532957,0.611260623,0.733928382,0.726498753
320,0.62622273,60.26365348,0.615069658,0.734735757,0.726728827
321,0.626296192,60.4519774,0.615761369,0.734736234,0.727086812
322,0.626538306,60.64030132,0.615838349,0.735239595,0.727133602
323,0.628251106,60.82862524,0.623199999,0.735246599,0.72832787
324,0.630392015,61.01694915,0.62450102,0.736025393,0.729160398
325,0.630398512,61.20527307,0.624594688,0.736109912,0.729939461
326,0.631638974,61.39359699,0.62487188,0.73648122,0.730367422
327,0.633899599,61.5819209,0.625657946,0.73659566,0.730854124
328,0.634527564,61.77024482,0.625976086,0.7377325,0.731200308
329,0.6358459,61.95856874,0.627423376,0.737943292,0.731382042
330,0.636498302,62.14689266,0.630061656,0.738598943,0.731755584
331,0.637131304,62.33521657,0.632328898,0.739379972,0.731998682
332,0.637913942,62.52354049,0.63378647,0.739436537,0.732096732
333,0.639568686,62.71186441,0.634614378,0.739720345,0.732099295
334,0.639828652,62.90018832,0.636491835,0.739881009,0.732211798
335,0.641205668,63.08851224,0.638074189,0.740212977,0.733933032
336,0.642384112,63.27683616,0.63925299,0.742038459,0.734845489
337,0.644770592,63.46516008,0.640113592,0.742695659,0.734903276
338,0.646259755,63.65348399,0.643251628,0.742765993,0.736034542
339,0.646272451,63.84180791,0.643711507,0.743459821,0.737477779
340,0.647473842,64.03013183,0.644451946,0.744759858,0.739211142
341,0.647778004,64.21845574,0.646148235,0.745173603,0.739410788
342,0.648873001,64.40677966,0.647011578,0.745218992,0.739706039
343,0.648997366,64.59510358,0.647375941,0.745385855,0.740270346
344,0.650635809,64.7834275,0.651419312,0.745950788,0.741004288
345,0.651528895,64.97175141,0.651430219,0.746363044,0.74319154
346,0.652615905,65.16007533,0.653102458,0.74656859,0.744623929
347,0.652738869,65.34839925,0.656367749,0.747220695,0.744630128
348,0.653029025,65.53672316,0.656697929,0.747827321,0.745757192
349,0.656349331,65.72504708,0.657042325,0.748869598,0.746346414
350,0.656980276,65.913371,0.657620728,0.74908179,0.746592849
351,0.658623576,66.10169492,0.660114795,0.749125153,0.746714622
352,0.659586936,66.29001883,0.661975384,0.749481857,0.746718258
353,0.659665346,66.47834275,0.662057549,0.749843061,0.746734023
354,0.660460472,66.66666667,0.664167136,0.750249684,0.747073889
355,0.660726607,66.85499058,0.668112129,0.750398174,0.747671962
356,0.66168806,67.0433145,0.670857757,0.750420198,0.748016924
357,0.662220418,67.23163842,0.671497166,0.751256287,0.74827981
358,0.665337503,67.41996234,0.671545327,0.751478866,0.748502374
359,0.665673763,67.60828625,0.671750337,0.752531514,0.750647277
360,0.665974796,67.79661017,0.671955675,0.753441527,0.751214117
361,0.666367024,67.98493409,0.672583818,0.753621861,0.752437577
362,0.667917669,68.173258,0.673063397,0.753743708,0.752510294
363,0.672365576,68.36158192,0.674028873,0.754570886,0.75284712
364,0.675701648,68.54990584,0.674957842,0.754822925,0.75442344
365,0.68085143,68.73822976,0.675339013,0.756050378,0.754810244
366,0.682016253,68.92655367,0.675727218,0.756553993,0.75493148
367,0.682697505,69.11487759,0.676053733,0.756619647,0.754954144
368,0.683239639,69.30320151,0.676834881,0.757115692,0.755522072
369,0.683845669,69.49152542,0.678372413,0.757515773,0.75575085
370,0.689258844,69.67984934,0.679268569,0.75811623,0.755835652
371,0.690850735,69.86817326,0.683145702,0.759502277,0.756460845
372,0.69142729,70.05649718,0.683937907,0.761531085,0.756641686
373,0.691914052,70.24482109,0.685012043,0.761675805,0.757973552
374,0.692446291,70.43314501,0.687967598,0.762280568,0.758145705
375,0.692521751,70.62146893,0.690505534,0.762337416,0.75889045
376,0.693368077,70.80979284,0.69232434,0.763618097,0.759215638
377,0.69601509,70.99811676,0.692504227,0.763785824,0.759745091
378,0.696651638,71.18644068,0.696646243,0.76403144,0.759858668
379,0.697060943,71.3747646,0.698377073,0.764362067,0.760319054
380,0.698802322,71.56308851,0.703258485,0.764466882,0.761164322
381,0.701243609,71.75141243,0.70448029,0.765064195,0.761224493
382,0.703577846,71.93973635,0.706339777,0.765377879,0.762422264
383,0.705037266,72.12806026,0.707409203,0.765658662,0.763619766
384,0.707533568,72.31638418,0.708276242,0.765903324,0.763749406
385,0.709107488,72.5047081,0.708788753,0.766779527,0.763848469
386,0.71095261,72.69303202,0.71031788,0.769351199,0.763864174
387,0.711992472,72.88135593,0.711232841,0.769691855,0.764793485
388,0.713798732,73.06967985,0.713390052,0.770386219,0.765020758
389,0.715348601,73.25800377,0.71381107,0.770505384,0.76621604
390,0.716249198,73.44632768,0.715105593,0.770539179,0.767846763
391,0.716366708,73.6346516,0.717101872,0.771655127,0.769758359
392,0.717926443,73.82297552,0.72338149,0.771948323,0.771246374
393,0.718649387,74.01129944,0.724900395,0.772504732,0.771533906
394,0.719666183,74.19962335,0.725933194,0.773080781,0.771940708
395,0.720523477,74.38794727,0.728309274,0.773459211,0.773592323
396,0.726967394,74.57627119,0.731550783,0.773556054,0.773739278
397,0.732064217,74.7645951,0.731962502,0.773812681,0.773859978
398,0.732755452,74.95291902,0.736513317,0.774148941,0.774932235
399,0.732840598,75.14124294,0.739877135,0.774557978,0.774955899
400,0.735835135,75.32956685,0.74173829,0.776917696,0.775252953
401,0.737077534,75.51789077,0.742365897,0.777284548,0.775461972
402,0.73950702,75.70621469,0.745829225,0.777472124,0.775579751
403,0.740611076,75.89453861,0.749555528,0.778173804,0.776124299
404,0.740965247,76.08286252,0.750152051,0.778709561,0.776159704
405,0.740971446,76.27118644,0.754094154,0.778812453,0.777451426
406,0.744106054,76.45951036,0.755270451,0.779313445,0.77772221
407,0.747168213,76.64783427,0.756627351,0.779366165,0.778051704
408,0.748820037,76.83615819,0.757448316,0.780010581,0.780514672
409,0.750069812,77.02448211,0.758011445,0.78039813,0.781001478
410,0.756857574,77.21280603,0.761560246,0.781923726,0.781729415
411,0.75950475,77.40112994,0.762536377,0.782227516,0.781971917
412,0.759564444,77.58945386,0.765950635,0.782754824,0.782553941
413,0.75987339,77.77777778,0.770885035,0.78342025,0.783578232
414,0.760978252,77.96610169,0.771423534,0.784150332,0.785339355
415,0.764138505,78.15442561,0.772342458,0.784936234,0.785623148
416,0.764891565,78.34274953,0.77326487,0.785772189,0.78742297
417,0.768613786,78.53107345,0.776543349,0.786854386,0.788267732
418,0.772526845,78.71939736,0.778788522,0.787047103,0.788763434
419,0.773424476,78.90772128,0.778802127,0.788791671,0.789537489
420,0.773913845,79.0960452,0.779197454,0.790107042,0.789678708
421,0.775231287,79.28436911,0.782666147,0.791809753,0.789786309
422,0.777789161,79.47269303,0.786199942,0.792152777,0.790343583
423,0.781276092,79.66101695,0.786394894,0.792821467,0.790981203
424,0.781371146,79.84934087,0.789615199,0.793291241,0.791740626
425,0.782027513,80.03766478,0.78985779,0.794396773,0.791875854
426,0.782165334,80.2259887,0.794196889,0.795353502,0.792518541
427,0.782229066,80.41431262,0.800802201,0.795583516,0.793458447
428,0.783592984,80.60263653,0.805107296,0.795899585,0.793512121
429,0.784437805,80.79096045,0.808976784,0.795920312,0.79356648
430,0.785961419,80.97928437,0.809117198,0.796143562,0.793652818
431,0.787102446,81.16760829,0.810366735,0.796323478,0.7940761
432,0.79452762,81.3559322,0.8105205,0.797410786,0.794244528
433,0.794852868,81.54425612,0.812689275,0.799091697,0.794841945
434,0.795426697,81.73258004,0.814745024,0.799103662,0.795601234
