531,Full Transformer,LSTM,Transformer Encoder,Full Transformer
153,0.389524221,0.61916852,0.5980663,28.81355932
154,0.393933177,0.619834632,0.598234624,29.00188324
155,0.396817863,0.620128423,0.598738343,29.19020716
156,0.398144066,0.620449096,0.599832773,29.37853107
157,0.400089681,0.622747988,0.600497395,29.56685499
158,0.402268827,0.624711692,0.603139877,29.75517891
159,0.40299207,0.624925703,0.603247315,29.94350282
160,0.403653443,0.625040978,0.603715032,30.13182674
161,0.40365845,0.626137167,0.604188681,30.32015066
162,0.40387553,0.627224088,0.605049342,30.50847458
163,0.405789196,0.630900681,0.605315745,30.69679849
164,0.406990707,0.633156866,0.605403066,30.88512241
165,0.410831451,0.635938972,0.607592165,31.07344633
166,0.412820458,0.636542201,0.607629716,31.26177024
167,0.413031101,0.636930227,0.608362943,31.45009416
168,0.416637182,0.637151182,0.6088866,31.63841808
169,0.418556213,0.637555003,0.609051585,31.826742
170,0.418641984,0.638350278,0.609355241,32.01506591
171,0.419452071,0.639103979,0.609942585,32.20338983
172,0.421453238,0.639204562,0.610979646,32.39171375
173,0.421820402,0.640039712,0.611032575,32.58003766
174,0.422841311,0.641048402,0.612024426,32.76836158
175,0.424081504,0.641890466,0.612144679,32.9566855
176,0.424448848,0.642721385,0.61218074,33.14500942
177,0.424567878,0.64274168,0.612909883,33.33333333
178,0.425521493,0.642917454,0.613019884,33.52165725
179,0.42914325,0.643205136,0.613122314,33.70998117
180,0.429238081,0.643652409,0.614497215,33.89830508
181,0.42981559,0.644169658,0.614614159,34.086629
182,0.430724978,0.644858778,0.615151137,34.27495292
183,0.433524013,0.645236939,0.615208209,34.46327684
184,0.435134113,0.646495014,0.615272373,34.65160075
185,0.435593605,0.647135675,0.615915835,34.83992467
186,0.43601656,0.647882283,0.616318882,35.02824859
187,0.436511338,0.65098235,0.617707193,35.2165725
188,0.436893582,0.652600646,0.617829829,35.40489642
189,0.43723762,0.653043807,0.620490342,35.59322034
190,0.440149546,0.653392106,0.621262729,35.78154426
191,0.441464782,0.653621495,0.623044521,35.96986817
192,0.443197787,0.654047549,0.623284698,36.15819209
193,0.443281472,0.655224055,0.623292208,36.34651601
194,0.443759799,0.655455023,0.623495221,36.53483992
195,0.44413805,0.657499105,0.623553276,36.72316384
196,0.444165528,0.657659769,0.623953283,36.91148776
197,0.445719242,0.658942342,0.624123275,37.09981168
198,0.446702898,0.659262002,0.62418142,37.28813559
199,0.447228551,0.660615742,0.624374211,37.47645951
200,0.448506296,0.661608636,0.624651998,37.66478343
201,0.448958576,0.662684381,0.626088858,37.85310734
202,0.454186738,0.662887931,0.627261102,38.04143126
203,0.455801606,0.664041668,0.62746194,38.22975518
