531,100seq-75,LSTM,Transformer Encoder,Full Transformer
107,0.314946532,0.559848636,0.550783962,20.15065913
108,0.31732136,0.55988887,0.550933838,20.33898305
109,0.32124126,0.564351678,0.552088112,20.52730697
110,0.32222718,0.564639091,0.553993493,20.71563089
111,0.324258685,0.564853638,0.556379169,20.9039548
112,0.324915469,0.565443754,0.556551158,21.09227872
113,0.329866886,0.566592932,0.557208776,21.28060264
114,0.330197036,0.570462108,0.557863802,21.46892655
115,0.331360936,0.570524156,0.558269888,21.65725047
116,0.338668406,0.575428337,0.558565706,21.84557439
117,0.338817358,0.57681492,0.560886741,22.03389831
118,0.339344144,0.578014433,0.563782543,22.22222222
119,0.342203856,0.58165282,0.564290911,22.41054614
120,0.342922211,0.582073271,0.565275043,22.59887006
121,0.342987418,0.582359552,0.566424042,22.78719397
122,0.345907927,0.583420813,0.567388922,22.97551789
123,0.346327901,0.58478716,0.569434345,23.16384181
124,0.34716171,0.586210132,0.574894816,23.35216573
125,0.351950169,0.587904662,0.575112402,23.54048964
126,0.353590012,0.591095716,0.575255632,23.72881356
127,0.355587661,0.591620892,0.576466173,23.91713748
128,0.355852723,0.592100441,0.5785698,24.10546139
129,0.356169283,0.595437765,0.579016536,24.29378531
130,0.357129753,0.596363664,0.579923451,24.48210923
131,0.360883057,0.597363621,0.581297606,24.67043315
132,0.36291045,0.597438335,0.581552833,24.85875706
133,0.363126576,0.598546207,0.582857221,25.04708098
134,0.364152312,0.599467218,0.584685206,25.2354049
135,0.36819452,0.600250632,0.58702293,25.42372881
136,0.368894577,0.601390272,0.587890267,25.61205273
137,0.37276268,0.603346378,0.588721305,25.80037665
138,0.378795326,0.605606854,0.589778751,25.98870056
139,0.378932655,0.606345534,0.590443313,26.17702448
140,0.37947017,0.608167946,0.590967238,26.3653484
141,0.379823565,0.609474778,0.592302054,26.55367232
142,0.381073833,0.610142827,0.593564868,26.74199623
143,0.381558597,0.61080727,0.594397932,26.93032015
144,0.381694853,0.614640296,0.595475942,27.11864407
145,0.384125471,0.614885628,0.595609576,27.30696798
146,0.384875119,0.615080893,0.596266985,27.4952919
147,0.385456264,0.616912484,0.600396842,27.68361582
148,0.386276841,0.618621737,0.601370424,27.87193974
149,0.386545539,0.619895399,0.605251551,28.06026365
150,0.390663087,0.620794475,0.609216899,28.24858757
151,0.391618192,0.621024489,0.609802067,28.43691149
152,0.395322323,0.622015536,0.61020419,28.6252354
153,0.396499693,0.622775078,0.611263394,28.81355932
154,0.397500455,0.622922063,0.611693174,29.00188324
155,0.398004532,0.622924507,0.612199008,29.19020716
156,0.399221539,0.623379678,0.612432659,29.37853107
157,0.403852105,0.623710901,0.613272041,29.56685499
158,0.40408349,0.626138985,0.6152924,29.75517891
159,0.408077717,0.626488805,0.616495073,29.94350282
160,0.410899818,0.626489162,0.616786212,30.13182674
161,0.411621869,0.628848135,0.617251843,30.32015066
162,0.414058983,0.630248785,0.61762172,30.50847458
163,0.414084077,0.630711347,0.617797673,30.69679849
164,0.41498214,0.633419633,0.618372887,30.88512241
165,0.416157484,0.634121209,0.620074093,31.07344633
166,0.418691754,0.634855241,0.620149285,31.26177024
167,0.419965148,0.635420531,0.621745497,31.45009416
168,0.422439337,0.63783437,0.623019099,31.63841808
169,0.42251271,0.637853652,0.623136908,31.826742
170,0.424139559,0.639016837,0.623579979,32.01506591
171,0.426777244,0.640785277,0.623611987,32.20338983
