531,Masked Transformer,Masked Transformer,No Mask Transformer,Transformer Encoder,LSTM
68,0.270887136,12.80602637,0.27211529,0.486758113,0.501123786
69,0.271419883,12.99435028,0.273639739,0.492272854,0.504873842
70,0.271790624,13.1826742,0.274332464,0.49259907,0.513397962
71,0.275641024,13.37099812,0.276911736,0.49516809,0.51528874
72,0.279617488,13.55932203,0.277070642,0.503175586,0.515626818
73,0.279734313,13.74764595,0.277083874,0.504471183,0.516193062
74,0.281461954,13.93596987,0.278045297,0.506721675,0.516586095
75,0.286561489,14.12429379,0.279742718,0.507744461,0.51859495
76,0.287001252,14.3126177,0.281160474,0.509988219,0.520032585
77,0.28703469,14.50094162,0.281377077,0.511558384,0.521946907
78,0.28742063,14.68926554,0.282056451,0.514665961,0.526634097
79,0.287542462,14.87758945,0.283566356,0.515341938,0.526734024
80,0.288975179,15.06591337,0.284944177,0.51808098,0.52824527
81,0.291269541,15.25423729,0.286375463,0.519028217,0.530394375
82,0.292085707,15.44256121,0.286523044,0.519990325,0.530680805
83,0.292629719,15.63088512,0.287367463,0.520987809,0.531584263
84,0.292893648,15.81920904,0.288543105,0.529122829,0.531988174
85,0.294118881,16.00753296,0.28856945,0.529856384,0.532381684
86,0.29612112,16.19585687,0.289002359,0.531074286,0.534363508
87,0.296133339,16.38418079,0.289364159,0.531930059,0.534925401
88,0.296239018,16.57250471,0.289749682,0.532839209,0.536744028
89,0.300552011,16.76082863,0.291612208,0.537157655,0.536973238
90,0.300651193,16.94915254,0.29451412,0.538111091,0.538712591
91,0.30137825,17.13747646,0.2951864,0.538829327,0.539011449
92,0.30400908,17.32580038,0.295401573,0.545523494,0.541481555
93,0.308286726,17.51412429,0.298087418,0.546397895,0.542893171
94,0.311182439,17.70244821,0.29870218,0.552469343,0.543392837
95,0.31356287,17.89077213,0.299603879,0.558794618,0.543819815
96,0.31381321,18.07909605,0.30016017,0.559370011,0.545260608
97,0.314368784,18.26741996,0.300341189,0.559370846,0.546515524
98,0.314470172,18.45574388,0.30102843,0.561352193,0.5475007
99,0.315570116,18.6440678,0.301766813,0.566185623,0.547748178
100,0.316678882,18.83239171,0.301874459,0.567638069,0.547909141
101,0.317224205,19.02071563,0.304013371,0.567750782,0.549868435
102,0.318440318,19.20903955,0.305251122,0.569239885,0.551299274
103,0.31889236,19.39736347,0.305789173,0.570333093,0.553834468
104,0.321764946,19.58568738,0.306080341,0.572582096,0.55769363
105,0.323687673,19.7740113,0.306384087,0.574998498,0.561458319
106,0.324703634,19.96233522,0.306484818,0.575338423,0.565183401
107,0.32814461,20.15065913,0.307855189,0.576227874,0.569559216
108,0.333016157,20.33898305,0.311189473,0.576603085,0.574400991
109,0.334056497,20.52730697,0.311656773,0.57708618,0.575045437
110,0.334338307,20.71563089,0.312556624,0.583136261,0.575181961
111,0.33671999,20.9039548,0.316271782,0.583303422,0.578484565
112,0.338373303,21.09227872,0.317171097,0.584348142,0.580186367
113,0.338789225,21.28060264,0.321600735,0.586499691,0.582001626
114,0.340488076,21.46892655,0.321813405,0.587253988,0.583212018
115,0.340773463,21.65725047,0.321921527,0.588317424,0.583682477
116,0.342664003,21.84557439,0.322333217,0.589005321,0.585788012
117,0.342966676,22.03389831,0.323167741,0.589712888,0.587285906
118,0.343972564,22.22222222,0.32494241,0.591902077,0.588801175
119,0.346014738,22.41054614,0.325072229,0.592553049,0.590866327
120,0.348810494,22.59887006,0.325278759,0.592694253,0.593362868
121,0.348902166,22.78719397,0.331280708,0.595805913,0.594435036
122,0.352214456,22.97551789,0.334561229,0.599947453,0.596548706
123,0.352717757,23.16384181,0.335503936,0.601375729,0.596722811
124,0.353455722,23.35216573,0.340145111,0.601578057,0.596965224
125,0.353723466,23.54048964,0.34105134,0.601988196,0.597242951
126,0.353855908,23.72881356,0.341187537,0.602309644,0.599674284
127,0.355232716,23.91713748,0.341442227,0.602416515,0.599710464
128,0.359506726,24.10546139,0.342157781,0.60256657,0.601745695
129,0.36132288,24.29378531,0.343264043,0.603169501,0.603083134
130,0.362223208,24.48210923,0.344908535,0.603697032,0.603789151
131,0.363643885,24.67043315,0.348008871,0.603872359,0.604399711
132,0.364207089,24.85875706,0.352300704,0.604669839,0.605177641
133,0.364327788,25.04708098,0.352809846,0.605498195,0.606444925
134,0.36447227,25.2354049,0.353879273,0.605682462,0.606615663
135,0.368209839,25.42372881,0.35582453,0.605818748,0.608656049
136,0.370157301,25.61205273,0.356106162,0.606589079,0.608731091
137,0.37294513,25.80037665,0.3574512,0.606942564,0.612475902
138,0.374240041,25.98870056,0.358594418,0.607240945,0.613064051
139,0.376226664,26.17702448,0.359265327,0.607358247,0.617287427
140,0.37831974,26.3653484,0.36002928,0.607676387,0.617459148
141,0.384496868,26.55367232,0.360244513,0.609353632,0.61904636
142,0.385391355,26.74199623,0.361547172,0.610333532,0.62055254
143,0.388070285,26.93032015,0.362133503,0.61121428,0.622331917
144,0.391465783,27.11864407,0.362471521,0.6135782,0.622776777
145,0.392173648,27.30696798,0.362515569,0.613700897,0.623563677
146,0.393069685,27.4952919,0.362774372,0.61817804,0.627736211
147,0.393159747,27.68361582,0.36517036,0.620683134,0.630444169
148,0.393283606,27.87193974,0.366923988,0.620739371,0.631094128
149,0.395125628,28.06026365,0.369981706,0.6208269,0.631268233
150,0.398338258,28.24858757,0.370699108,0.620855957,0.631390631
151,0.39850384,28.43691149,0.373717785,0.621516883,0.631912768
152,0.400239527,28.6252354,0.374046147,0.623010814,0.632280082
153,0.401127815,28.81355932,0.375463545,0.62315467,0.634203643
154,0.40299511,29.00188324,0.376379788,0.623888522,0.634647012
155,0.404822111,29.19020716,0.377187133,0.626369745,0.637553245
156,0.409052372,29.37853107,0.378834069,0.628367335,0.637842923
157,0.41039139,29.56685499,0.379960179,0.629710823,0.638552159
158,0.41339457,29.75517891,0.382603049,0.630249351,0.639141202
159,0.414287031,29.94350282,0.382994175,0.63025555,0.639239222
160,0.414524376,30.13182674,0.383165359,0.630536258,0.640581787
161,0.415237367,30.32015066,0.385253072,0.633667082,0.641034931
162,0.415752351,30.50847458,0.388174891,0.634475589,0.642798245
163,0.418678164,30.69679849,0.389930964,0.634676993,0.643744528
164,0.418698788,30.88512241,0.395437241,0.635235369,0.644368142
165,0.418704391,31.07344633,0.396066487,0.635498673,0.644395649
166,0.421827257,31.26177024,0.396447659,0.635954469,0.644480139
167,0.422467053,31.45009416,0.397922099,0.638141781,0.64568004
168,0.422737777,31.63841808,0.398799896,0.639461488,0.645700455
169,0.423300207,31.826742,0.402062774,0.639683872,0.645715684
170,0.424935639,32.01506591,0.402389348,0.64022094,0.646068215
171,0.428755343,32.20338983,0.403517365,0.640773505,0.646119148
172,0.430680454,32.39171375,0.403796434,0.641287416,0.646445543
173,0.432361484,32.58003766,0.404324591,0.64196375,0.646903664
174,0.435509682,32.76836158,0.405219972,0.642280221,0.646932334
175,0.435635328,32.9566855,0.405834317,0.642409086,0.64725697
176,0.436288059,33.14500942,0.406405926,0.643675685,0.647338837
177,0.436984956,33.33333333,0.406731963,0.643737972,0.648054481
178,0.439450264,33.52165725,0.407781303,0.644544303,0.649016172
179,0.439597905,33.70998117,0.408650398,0.64663437,0.64949286
180,0.446555138,33.89830508,0.410592198,0.648997337,0.649662793
181,0.446556509,34.086629,0.412903488,0.652103662,0.650562257
182,0.447299182,34.27495292,0.414783657,0.654065788,0.651648074
183,0.447349608,34.46327684,0.416366458,0.654973567,0.652263135
184,0.448714972,34.65160075,0.416798651,0.655882001,0.65301913
185,0.449290991,34.83992467,0.417629957,0.656311512,0.654136568
186,0.450878382,35.02824859,0.420465291,0.657378793,0.654187351
187,0.454241097,35.2165725,0.421033978,0.6587421,0.654314518
188,0.45776099,35.40489642,0.422524869,0.658964634,0.655276835
189,0.458835542,35.59322034,0.423474729,0.659414291,0.656122595
190,0.459542096,35.78154426,0.426282942,0.65981853,0.658812255
191,0.462135911,35.96986817,0.42943716,0.659983635,0.659151316
192,0.462444246,36.15819209,0.429717064,0.661441028,0.66058141
193,0.464148223,36.34651601,0.429901898,0.662518084,0.661091715
194,0.465511501,36.53483992,0.430736303,0.663271576,0.661549628
195,0.465692163,36.72316384,0.431788266,0.663879871,0.662276775
196,0.469465435,36.91148776,0.431857646,0.664011151,0.662734509
197,0.469784081,37.09981168,0.432502389,0.664203554,0.663944006
198,0.471340835,37.28813559,0.432739556,0.665381253,0.664360046
199,0.472191155,37.47645951,0.435131133,0.665586799,0.664546251
200,0.472586274,37.66478343,0.435733795,0.665988117,0.665508211
201,0.474748671,37.85310734,0.436576664,0.666102588,0.665670633
202,0.475321174,38.04143126,0.437118471,0.666535378,0.66608119
203,0.47543329,38.22975518,0.439195693,0.667397916,0.668793589
204,0.47593379,38.4180791,0.439600825,0.669057459,0.669716477
205,0.477643371,38.60640301,0.440218151,0.669224977,0.669863939
206,0.47948581,38.79472693,0.440846384,0.669941753,0.670045465
207,0.479930282,38.98305085,0.441045284,0.670472622,0.670200169
208,0.481353998,39.17137476,0.441516519,0.670634687,0.670217872
209,0.485876322,39.35969868,0.444728494,0.670748919,0.670347154
210,0.48719269,39.5480226,0.445058346,0.671783507,0.670797825
211,0.487797499,39.73634652,0.445557952,0.673085481,0.670876563
212,0.487861514,39.92467043,0.446391761,0.673967272,0.671121448
213,0.492192805,40.11299435,0.447738826,0.674336404,0.671907008
214,0.492965758,40.30131827,0.449350953,0.674381346,0.673867106
215,0.493391752,40.48964218,0.449616015,0.674426466,0.67393434
216,0.494487941,40.6779661,0.450571477,0.676730096,0.675127327
217,0.496485829,40.86629002,0.451386452,0.677257836,0.676665753
218,0.49776113,41.05461394,0.452909887,0.678411484,0.677120537
219,0.498773336,41.24293785,0.453393102,0.678769529,0.678279251
220,0.499445319,41.43126177,0.455394149,0.678792059,0.678565472
221,0.499710679,41.61958569,0.455536902,0.679789871,0.678577751
222,0.505072087,41.8079096,0.455700457,0.679927617,0.678614229
223,0.506077737,41.99623352,0.456240416,0.680003643,0.678890795
224,0.507689983,42.18455744,0.456707835,0.680107445,0.678968936
225,0.508708209,42.37288136,0.457463801,0.681024373,0.679356426
226,0.510372311,42.56120527,0.458049059,0.681587398,0.6795609
227,0.51060465,42.74952919,0.458164871,0.682650745,0.68065989
228,0.510616601,42.93785311,0.458249748,0.6831806,0.680855542
229,0.513339549,43.12617702,0.459101498,0.683223099,0.680869132
230,0.51433897,43.31450094,0.461053848,0.684220254,0.68105498
231,0.51881054,43.50282486,0.461978197,0.686108887,0.682661206
232,0.521512717,43.69114878,0.463343978,0.686520725,0.682831556
233,0.522770435,43.87947269,0.465645969,0.686592847,0.683104575
234,0.522783607,44.06779661,0.465767503,0.687111437,0.683307409
235,0.525516242,44.25612053,0.465882659,0.687243491,0.684135854
236,0.525933653,44.44444444,0.466696024,0.688957721,0.684315562
237,0.527116537,44.63276836,0.474358976,0.69007507,0.684759319
238,0.528345644,44.82109228,0.474959373,0.690525353,0.686341941
239,0.52960515,45.0094162,0.478237629,0.690713078,0.686724037
240,0.531514198,45.19774011,0.479480088,0.690724641,0.687014997
241,0.531745404,45.38606403,0.480587006,0.691200763,0.688015372
242,0.533577621,45.57438795,0.481771588,0.692100197,0.68846637
243,0.534631401,45.76271186,0.481897831,0.692483455,0.690717399
244,0.534792989,45.95103578,0.48233366,0.692585379,0.690808177
245,0.535377204,46.1393597,0.48659265,0.692608505,0.690872401
246,0.536358923,46.32768362,0.487304211,0.692721516,0.690962791
247,0.536646873,46.51600753,0.487767458,0.693119347,0.69117716
248,0.538235784,46.70433145,0.487809718,0.693152696,0.692313999
249,0.5390037,46.89265537,0.488066733,0.693541378,0.692687303
250,0.539214075,47.08097928,0.489138246,0.693547845,0.693992525
251,0.540869683,47.2693032,0.490689337,0.694961607,0.695006788
252,0.540927052,47.45762712,0.490766406,0.695117444,0.695310205
253,0.542085916,47.64595104,0.491922319,0.695327103,0.695367098
254,0.542478114,47.83427495,0.493180335,0.695405543,0.695647269
255,0.543252885,48.02259887,0.494066834,0.695418477,0.695686787
256,0.544155926,48.21092279,0.494144201,0.696146935,0.695991963
257,0.544599265,48.3992467,0.497848749,0.696160823,0.700081021
258,0.548014939,48.58757062,0.498162806,0.696518481,0.700209856
259,0.548629075,48.77589454,0.498825312,0.697164506,0.700450689
260,0.549722046,48.96421846,0.500059187,0.697653532,0.700705528
261,0.550898641,49.15254237,0.500259429,0.698871404,0.70083046
262,0.551114351,49.34086629,0.50443849,0.699236989,0.701097369
263,0.551422924,49.52919021,0.504662871,0.700183421,0.701485485
264,0.555583388,49.71751412,0.508785844,0.700206012,0.70156759
265,0.557110459,49.90583804,0.510494053,0.700501442,0.701720029
266,0.561199218,50.09416196,0.510684401,0.700613856,0.701834857
267,0.56171906,50.28248588,0.511327267,0.700916469,0.702793211
268,0.563301504,50.47080979,0.512360424,0.701378912,0.703182787
269,0.563453972,50.65913371,0.513296783,0.70377931,0.703739524
270,0.565004319,50.84745763,0.513534695,0.7060588,0.704109281
271,0.565812171,51.03578154,0.514310718,0.706132799,0.704653144
272,0.567346126,51.22410546,0.515780777,0.706284404,0.704731733
273,0.567814976,51.41242938,0.51613,0.706291109,0.704861969
274,0.569171101,51.6007533,0.517440677,0.706687152,0.70491913
275,0.569844574,51.78907721,0.518825978,0.70705393,0.706210673
276,0.572008073,51.97740113,0.518855125,0.708145738,0.706729323
277,0.572594225,52.16572505,0.52005583,0.709002763,0.707001507
278,0.574525476,52.35404896,0.520376474,0.70981589,0.707613498
279,0.574599594,52.54237288,0.520564556,0.709985018,0.707707256
280,0.57711041,52.7306968,0.520633519,0.712362766,0.708520949
281,0.577727407,52.91902072,0.521127015,0.712912977,0.708865643
282,0.578473538,53.10734463,0.521693915,0.713422239,0.709022343
283,0.579242557,53.29566855,0.521810174,0.713699937,0.70932588
284,0.57991308,53.48399247,0.52255863,0.714077055,0.710635543
285,0.58151269,53.67231638,0.523220748,0.714230061,0.711108685
286,0.583002597,53.8606403,0.524009168,0.714232177,0.712045848
287,0.583265632,54.04896422,0.528275102,0.714249015,0.712190896
288,0.583394289,54.23728814,0.530279994,0.714313477,0.712193221
289,0.583726197,54.42561205,0.531520605,0.716078311,0.713753223
290,0.584362835,54.61393597,0.534623891,0.717172712,0.714126527
291,0.584726989,54.80225989,0.537688643,0.717289358,0.714309692
292,0.585088938,54.9905838,0.539204299,0.717409641,0.714427024
293,0.585375428,55.17890772,0.539291412,0.71873796,0.714813054
294,0.585767269,55.36723164,0.539343059,0.718771517,0.715090841
295,0.587230206,55.55555556,0.539720356,0.718880355,0.715854764
296,0.587520838,55.74387947,0.5404993,0.719305247,0.716892689
297,0.589202255,55.93220339,0.541574061,0.719736457,0.716914564
298,0.5936369,56.12052731,0.542681932,0.720106035,0.717550516
299,0.595183283,56.30885122,0.544323087,0.721845478,0.71761179
300,0.596169472,56.49717514,0.544484496,0.722989172,0.717772663
301,0.597006768,56.68549906,0.546542436,0.723597229,0.718070537
302,0.597190112,56.87382298,0.547408879,0.723862529,0.718145728
303,0.597845942,57.06214689,0.548109263,0.724072725,0.719245076
304,0.598226249,57.25047081,0.548238248,0.724132687,0.719953269
305,0.599508554,57.43879473,0.548405081,0.725144029,0.721983403
306,0.60032171,57.62711864,0.549390554,0.725505263,0.721992821
307,0.600765556,57.81544256,0.549936712,0.725918472,0.722362041
308,0.600775123,58.00376648,0.555896968,0.726818919,0.723183244
309,0.601171613,58.1920904,0.556293815,0.726874858,0.723236054
310,0.601177275,58.38041431,0.557384133,0.726928562,0.723389655
311,0.602104962,58.56873823,0.560215324,0.728252679,0.723519057
312,0.602192819,58.75706215,0.561806679,0.729587972,0.723741531
313,0.603130966,58.94538606,0.562288702,0.730259538,0.724207252
314,0.606963634,59.13370998,0.564391345,0.730487019,0.725092411
315,0.607424051,59.3220339,0.567087263,0.731355458,0.725328594
316,0.607593715,59.51035782,0.567505628,0.731412619,0.725611418
317,0.610158563,59.69868173,0.570898861,0.732057482,0.72573936
318,0.610965014,59.88700565,0.570940733,0.732781619,0.726108372
319,0.611260623,60.07532957,0.571100056,0.733928382,0.726498753
320,0.615069658,60.26365348,0.571697295,0.734735757,0.726728827
321,0.615761369,60.4519774,0.573009461,0.734736234,0.727086812
322,0.615838349,60.64030132,0.57494694,0.735239595,0.727133602
323,0.623199999,60.82862524,0.575373918,0.735246599,0.72832787
324,0.62450102,61.01694915,0.57571888,0.736025393,0.729160398
325,0.624594688,61.20527307,0.576871604,0.736109912,0.729939461
326,0.62487188,61.39359699,0.577848494,0.73648122,0.730367422
327,0.625657946,61.5819209,0.579730004,0.73659566,0.730854124
328,0.625976086,61.77024482,0.579919398,0.7377325,0.731200308
329,0.627423376,61.95856874,0.580376267,0.737943292,0.731382042
330,0.630061656,62.14689266,0.580758363,0.738598943,0.731755584
331,0.632328898,62.33521657,0.583183974,0.739379972,0.731998682
332,0.63378647,62.52354049,0.585958481,0.739436537,0.732096732
333,0.634614378,62.71186441,0.586723775,0.739720345,0.732099295
334,0.636491835,62.90018832,0.587429374,0.739881009,0.732211798
335,0.638074189,63.08851224,0.588014841,0.740212977,0.733933032
336,0.63925299,63.27683616,0.588923216,0.742038459,0.734845489
337,0.640113592,63.46516008,0.590623707,0.742695659,0.734903276
338,0.643251628,63.65348399,0.590935022,0.742765993,0.736034542
339,0.643711507,63.84180791,0.591258496,0.743459821,0.737477779
340,0.644451946,64.03013183,0.591666341,0.744759858,0.739211142
341,0.646148235,64.21845574,0.592900366,0.745173603,0.739410788
342,0.647011578,64.40677966,0.593423843,0.745218992,0.739706039
343,0.647375941,64.59510358,0.594175428,0.745385855,0.740270346
344,0.651419312,64.7834275,0.598347753,0.745950788,0.741004288
345,0.651430219,64.97175141,0.603741378,0.746363044,0.74319154
346,0.653102458,65.16007533,0.605286658,0.74656859,0.744623929
347,0.656367749,65.34839925,0.606655061,0.747220695,0.744630128
348,0.656697929,65.53672316,0.60685131,0.747827321,0.745757192
349,0.657042325,65.72504708,0.611098379,0.748869598,0.746346414
350,0.657620728,65.913371,0.611164749,0.74908179,0.746592849
351,0.660114795,66.10169492,0.611703515,0.749125153,0.746714622
352,0.661975384,66.29001883,0.612687677,0.749481857,0.746718258
353,0.662057549,66.47834275,0.61571309,0.749843061,0.746734023
354,0.664167136,66.66666667,0.617669195,0.750249684,0.747073889
355,0.668112129,66.85499058,0.617942691,0.750398174,0.747671962
356,0.670857757,67.0433145,0.618769854,0.750420198,0.748016924
357,0.671497166,67.23163842,0.620344698,0.751256287,0.74827981
358,0.671545327,67.41996234,0.623721659,0.751478866,0.748502374
359,0.671750337,67.60828625,0.624834239,0.752531514,0.750647277
360,0.671955675,67.79661017,0.631289452,0.753441527,0.751214117
361,0.672583818,67.98493409,0.631449044,0.753621861,0.752437577
362,0.673063397,68.173258,0.640357077,0.753743708,0.752510294
363,0.674028873,68.36158192,0.641575009,0.754570886,0.75284712
364,0.674957842,68.54990584,0.642684281,0.754822925,0.75442344
365,0.675339013,68.73822976,0.643098891,0.756050378,0.754810244
366,0.675727218,68.92655367,0.644839466,0.756553993,0.75493148
367,0.676053733,69.11487759,0.646405786,0.756619647,0.754954144
368,0.676834881,69.30320151,0.649653018,0.757115692,0.755522072
369,0.678372413,69.49152542,0.649716526,0.757515773,0.75575085
370,0.679268569,69.67984934,0.650140256,0.75811623,0.755835652
371,0.683145702,69.86817326,0.650312603,0.759502277,0.756460845
372,0.683937907,70.05649718,0.651968122,0.761531085,0.756641686
373,0.685012043,70.24482109,0.652149081,0.761675805,0.757973552
374,0.687967598,70.43314501,0.652874053,0.762280568,0.758145705
375,0.690505534,70.62146893,0.654324591,0.762337416,0.75889045
376,0.69232434,70.80979284,0.655179381,0.763618097,0.759215638
377,0.692504227,70.99811676,0.655810416,0.763785824,0.759745091
378,0.696646243,71.18644068,0.657156825,0.76403144,0.759858668
379,0.698377073,71.3747646,0.659140885,0.764362067,0.760319054
380,0.703258485,71.56308851,0.65922907,0.764466882,0.761164322
381,0.70448029,71.75141243,0.659632832,0.765064195,0.761224493
382,0.706339777,71.93973635,0.662821949,0.765377879,0.762422264
383,0.707409203,72.12806026,0.664860487,0.765658662,0.763619766
384,0.708276242,72.31638418,0.669954032,0.765903324,0.763749406
385,0.708788753,72.5047081,0.672846496,0.766779527,0.763848469
386,0.71031788,72.69303202,0.674417853,0.769351199,0.763864174
387,0.711232841,72.88135593,0.677186161,0.769691855,0.764793485
388,0.713390052,73.06967985,0.677352399,0.770386219,0.765020758
389,0.71381107,73.25800377,0.679424614,0.770505384,0.76621604
390,0.715105593,73.44632768,0.679953098,0.770539179,0.767846763
391,0.717101872,73.6346516,0.686394125,0.771655127,0.769758359
392,0.72338149,73.82297552,0.687191933,0.771948323,0.771246374
393,0.724900395,74.01129944,0.687359422,0.772504732,0.771533906
394,0.725933194,74.19962335,0.6909087,0.773080781,0.771940708
395,0.728309274,74.38794727,0.691981107,0.773459211,0.773592323
396,0.731550783,74.57627119,0.697180599,0.773556054,0.773739278
397,0.731962502,74.7645951,0.698092461,0.773812681,0.773859978
398,0.736513317,74.95291902,0.6998173,0.774148941,0.774932235
399,0.739877135,75.14124294,0.701067269,0.774557978,0.774955899
400,0.74173829,75.32956685,0.702006847,0.776917696,0.775252953
401,0.742365897,75.51789077,0.704400897,0.777284548,0.775461972
402,0.745829225,75.70621469,0.704560995,0.777472124,0.775579751
403,0.749555528,75.89453861,0.713980138,0.778173804,0.776124299
404,0.750152051,76.08286252,0.718937874,0.778709561,0.776159704
405,0.754094154,76.27118644,0.725092828,0.778812453,0.777451426
406,0.755270451,76.45951036,0.726046294,0.779313445,0.77772221
407,0.756627351,76.64783427,0.72613579,0.779366165,0.778051704
408,0.757448316,76.83615819,0.728111058,0.780010581,0.780514672
409,0.758011445,77.02448211,0.728177994,0.78039813,0.781001478
410,0.761560246,77.21280603,0.729364544,0.781923726,0.781729415
411,0.762536377,77.40112994,0.730345517,0.782227516,0.781971917
412,0.765950635,77.58945386,0.73343733,0.782754824,0.782553941
413,0.770885035,77.77777778,0.73345378,0.78342025,0.783578232
414,0.771423534,77.96610169,0.737945944,0.784150332,0.785339355
415,0.772342458,78.15442561,0.746429503,0.784936234,0.785623148
416,0.77326487,78.34274953,0.750802413,0.785772189,0.78742297
417,0.776543349,78.53107345,0.754723474,0.786854386,0.788267732
418,0.778788522,78.71939736,0.757195592,0.787047103,0.788763434
419,0.778802127,78.90772128,0.758044556,0.788791671,0.789537489
420,0.779197454,79.0960452,0.765965492,0.790107042,0.789678708
421,0.782666147,79.28436911,0.767821938,0.791809753,0.789786309
422,0.786199942,79.47269303,0.769934356,0.792152777,0.790343583
423,0.786394894,79.66101695,0.772789419,0.792821467,0.790981203
424,0.789615199,79.84934087,0.773537502,0.793291241,0.791740626
425,0.78985779,80.03766478,0.774973989,0.794396773,0.791875854
426,0.794196889,80.2259887,0.775439501,0.795353502,0.792518541
427,0.800802201,80.41431262,0.778978199,0.795583516,0.793458447
428,0.805107296,80.60263653,0.779416874,0.795899585,0.793512121
429,0.808976784,80.79096045,0.784365579,0.795920312,0.79356648
430,0.809117198,80.97928437,0.784633055,0.796143562,0.793652818
431,0.810366735,81.16760829,0.785688519,0.796323478,0.7940761
432,0.8105205,81.3559322,0.786564901,0.797410786,0.794244528
433,0.812689275,81.54425612,0.790567756,0.799091697,0.794841945
434,0.814745024,81.73258004,0.792207435,0.799103662,0.795601234
