531,Epoch 100,Epoch 100,Epoch 200,Epoch 300,Transformer Encoder,LSTM
40,0.224012017,7.532956685,0.194588065,0.162494659,0.414321125,0.414577901
41,0.226560056,7.721280603,0.196436346,0.164107561,0.414868712,0.418297589
42,0.231259108,7.90960452,0.197740078,0.165851533,0.420814037,0.418449342
43,0.233489394,8.097928437,0.19910568,0.167698681,0.423303187,0.424270988
44,0.23470068,8.286252354,0.201418579,0.170715272,0.423817098,0.429832995
45,0.234836876,8.474576271,0.207672,0.171363294,0.423821151,0.431918263
46,0.23819536,8.662900188,0.212712705,0.171727359,0.426255882,0.433043659
47,0.240383089,8.851224105,0.216137648,0.17402494,0.426326931,0.447982609
48,0.242827415,9.039548023,0.219354689,0.17508781,0.42799598,0.450082302
49,0.246981323,9.22787194,0.221356273,0.176781356,0.428731978,0.453907192
50,0.250501454,9.416195857,0.22891885,0.177847445,0.442932367,0.454567432
51,0.254153073,9.604519774,0.229752541,0.17898494,0.444336355,0.460021555
52,0.255620539,9.792843691,0.235966444,0.179545462,0.446798921,0.461952507
53,0.257428527,9.981167608,0.240429223,0.181090832,0.449344873,0.461987913
54,0.257885516,10.16949153,0.241820872,0.185359716,0.45002991,0.472273409
55,0.258429289,10.35781544,0.248463631,0.186295867,0.460706055,0.473450959
56,0.260023177,10.54613936,0.248809099,0.189601958,0.462987125,0.479430974
57,0.266383648,10.73446328,0.248885632,0.200121045,0.46320492,0.479815602
58,0.268161416,10.92278719,0.249640465,0.205938339,0.46789366,0.480743885
59,0.268812358,11.11111111,0.251654029,0.206625521,0.46865803,0.485285044
60,0.271905363,11.29943503,0.251700103,0.206878245,0.470094502,0.486993313
61,0.272544086,11.48775895,0.255648196,0.211189389,0.471773148,0.48741442
62,0.27524817,11.67608286,0.256162822,0.211342096,0.474443793,0.489817083
63,0.275319517,11.86440678,0.26123029,0.212445676,0.476649225,0.494362056
64,0.276111305,12.0527307,0.262292147,0.215775013,0.479845524,0.494818807
65,0.276223242,12.24105461,0.262394905,0.226537466,0.483053327,0.495132804
66,0.276987791,12.42937853,0.262604058,0.233689487,0.48366189,0.495874107
67,0.278886139,12.61770245,0.264089465,0.241752148,0.485310078,0.496509731
68,0.279842377,12.80602637,0.2641505,0.242086768,0.486758113,0.501123786
69,0.27985692,12.99435028,0.264882147,0.24211812,0.492272854,0.504873842
70,0.284063399,13.1826742,0.26550281,0.243226528,0.49259907,0.513397962
71,0.285172701,13.37099812,0.265830994,0.244892538,0.49516809,0.51528874
72,0.287853122,13.55932203,0.266306281,0.245850325,0.503175586,0.515626818
73,0.288576007,13.74764595,0.266483426,0.246303856,0.504471183,0.516193062
74,0.292337656,13.93596987,0.269423962,0.246762991,0.506721675,0.516586095
75,0.292797446,14.12429379,0.271805882,0.247051656,0.507744461,0.51859495
76,0.293099642,14.3126177,0.273061872,0.249163389,0.509988219,0.520032585
77,0.294427097,14.50094162,0.276349843,0.251399696,0.511558384,0.521946907
78,0.29523164,14.68926554,0.278140604,0.253243506,0.514665961,0.526634097
79,0.295747161,14.87758945,0.27988416,0.255174458,0.515341938,0.526734024
80,0.296031833,15.06591337,0.279998422,0.255181313,0.51808098,0.52824527
81,0.296110332,15.25423729,0.281570017,0.256394207,0.519028217,0.530394375
82,0.297579885,15.44256121,0.286088765,0.256671369,0.519990325,0.530680805
83,0.298078895,15.63088512,0.287134767,0.256857276,0.520987809,0.531584263
84,0.299103558,15.81920904,0.29357487,0.256924808,0.529122829,0.531988174
85,0.301689744,16.00753296,0.296777606,0.257487178,0.529856384,0.532381684
86,0.302016616,16.19585687,0.296813548,0.257866859,0.531074286,0.534363508
87,0.302090049,16.38418079,0.298285723,0.261521816,0.531930059,0.534925401
88,0.305725694,16.57250471,0.298313975,0.261866689,0.532839209,0.536744028
89,0.306598425,16.76082863,0.298340261,0.264713705,0.537157655,0.536973238
90,0.307146072,16.94915254,0.298553884,0.266580522,0.538111091,0.538712591
91,0.307821631,17.13747646,0.301679075,0.267459691,0.538829327,0.539011449
92,0.308964312,17.32580038,0.303588867,0.26998502,0.545523494,0.541481555
93,0.309845209,17.51412429,0.304394662,0.270273924,0.546397895,0.542893171
94,0.311465144,17.70244821,0.304523766,0.271163642,0.552469343,0.543392837
95,0.312358499,17.89077213,0.308166742,0.271418691,0.558794618,0.543819815
96,0.312378585,18.07909605,0.30899781,0.280229807,0.559370011,0.545260608
97,0.312980473,18.26741996,0.311251163,0.280246139,0.559370846,0.546515524
98,0.314664245,18.45574388,0.311482012,0.281658709,0.561352193,0.5475007
99,0.318357408,18.6440678,0.311858594,0.283017755,0.566185623,0.547748178
100,0.319758177,18.83239171,0.315306425,0.284174144,0.567638069,0.547909141
101,0.320108175,19.02071563,0.315411925,0.284520388,0.567750782,0.549868435
102,0.321562707,19.20903955,0.315643787,0.285529792,0.569239885,0.551299274
103,0.322234452,19.39736347,0.318300307,0.286307633,0.570333093,0.553834468
104,0.323954999,19.58568738,0.322605908,0.289405107,0.572582096,0.55769363
105,0.324705005,19.7740113,0.323213875,0.290322423,0.574998498,0.561458319
106,0.326178014,19.96233522,0.324087322,0.290468633,0.575338423,0.565183401
107,0.32834208,20.15065913,0.326732337,0.291382194,0.576227874,0.569559216
108,0.330378592,20.33898305,0.328197539,0.292258382,0.576603085,0.574400991
109,0.332586706,20.52730697,0.330081642,0.292829454,0.57708618,0.575045437
110,0.337057292,20.71563089,0.333950698,0.293485701,0.583136261,0.575181961
111,0.337059796,20.9039548,0.335770845,0.293874025,0.583303422,0.578484565
112,0.337963402,21.09227872,0.339985251,0.294487596,0.584348142,0.580186367
113,0.338397861,21.28060264,0.340404391,0.295274913,0.586499691,0.582001626
114,0.339006305,21.46892655,0.34084934,0.296321452,0.587253988,0.583212018
115,0.340134263,21.65725047,0.341941953,0.299515605,0.588317424,0.583682477
116,0.340418696,21.84557439,0.342236459,0.304359019,0.589005321,0.585788012
117,0.34299463,22.03389831,0.342511058,0.306945741,0.589712888,0.587285906
118,0.345931947,22.22222222,0.34255594,0.309910774,0.591902077,0.588801175
119,0.347272098,22.41054614,0.342824697,0.310454369,0.592553049,0.590866327
120,0.351927757,22.59887006,0.344530761,0.310584307,0.592694253,0.593362868
121,0.352756143,22.78719397,0.345393777,0.316461504,0.595805913,0.594435036
122,0.356357098,22.97551789,0.347212017,0.318765998,0.599947453,0.596548706
123,0.35778594,23.16384181,0.34756732,0.319148719,0.601375729,0.596722811
124,0.361738384,23.35216573,0.348632336,0.319853425,0.601578057,0.596965224
125,0.363111496,23.54048964,0.348956227,0.323410571,0.601988196,0.597242951
126,0.363717616,23.72881356,0.349493027,0.326517463,0.602309644,0.599674284
127,0.36482954,23.91713748,0.352292717,0.327701628,0.602416515,0.599710464
128,0.364874601,24.10546139,0.35352838,0.329855263,0.60256657,0.601745695
129,0.366458416,24.29378531,0.356801212,0.330826223,0.603169501,0.603083134
130,0.367909491,24.48210923,0.358061135,0.332101703,0.603697032,0.603789151
131,0.372648656,24.67043315,0.358284295,0.332535982,0.603872359,0.604399711
132,0.373975337,24.85875706,0.359032512,0.333123624,0.604669839,0.605177641
133,0.374296963,25.04708098,0.364079118,0.336309969,0.605498195,0.606444925
134,0.37828362,25.2354049,0.369154334,0.339044154,0.605682462,0.606615663
135,0.378823996,25.42372881,0.370023966,0.343514204,0.605818748,0.608656049
136,0.379659057,25.61205273,0.37093848,0.343777716,0.606589079,0.608731091
137,0.380455375,25.80037665,0.372970104,0.343973637,0.606942564,0.612475902
138,0.382895052,25.98870056,0.375965238,0.344884396,0.607240945,0.613064051
139,0.383820117,26.17702448,0.381263494,0.345190048,0.607358247,0.617287427
140,0.395635605,26.3653484,0.385218799,0.346757889,0.607676387,0.617459148
141,0.3966434,26.55367232,0.38525027,0.347616136,0.609353632,0.61904636
142,0.397202551,26.74199623,0.38571161,0.349062443,0.610333532,0.62055254
143,0.397514164,26.93032015,0.385945916,0.349583566,0.61121428,0.622331917
144,0.397545874,27.11864407,0.387261152,0.352401674,0.6135782,0.622776777
145,0.397784173,27.30696798,0.387504518,0.353333235,0.613700897,0.623563677
146,0.398637056,27.4952919,0.387943983,0.353355169,0.61817804,0.627736211
147,0.398771107,27.68361582,0.38864249,0.354489625,0.620683134,0.630444169
148,0.400166154,27.87193974,0.390812397,0.357498467,0.620739371,0.631094128
149,0.400779307,28.06026365,0.391736746,0.35750258,0.6208269,0.631268233
150,0.403602779,28.24858757,0.394342422,0.357578456,0.620855957,0.631390631
151,0.411315203,28.43691149,0.39477694,0.35834837,0.621516883,0.631912768
152,0.412968457,28.6252354,0.395065606,0.361124873,0.623010814,0.632280082
153,0.413361371,28.81355932,0.395779908,0.361703277,0.62315467,0.634203643
154,0.415170312,29.00188324,0.402634382,0.363231122,0.623888522,0.634647012
155,0.415331125,29.19020716,0.40266788,0.36713773,0.626369745,0.637553245
156,0.421239376,29.37853107,0.40321368,0.367420375,0.628367335,0.637842923
157,0.422048569,29.56685499,0.406200707,0.370228291,0.629710823,0.638552159
158,0.424271047,29.75517891,0.406325936,0.370287299,0.630249351,0.639141202
159,0.424766183,29.94350282,0.408405423,0.373490274,0.63025555,0.639239222
160,0.42657876,30.13182674,0.409050286,0.375729322,0.630536258,0.640581787
161,0.42678386,30.32015066,0.410660028,0.377711415,0.633667082,0.641034931
162,0.42835784,30.50847458,0.413239002,0.379115343,0.634475589,0.642798245
163,0.428591907,30.69679849,0.414904952,0.381121695,0.634676993,0.643744528
164,0.429809809,30.88512241,0.415257573,0.382381797,0.635235369,0.644368142
165,0.42990756,31.07344633,0.419585705,0.385285676,0.635498673,0.644395649
166,0.433153033,31.26177024,0.420273781,0.389423132,0.635954469,0.644480139
167,0.434478045,31.45009416,0.421202958,0.390180528,0.638141781,0.64568004
168,0.434584856,31.63841808,0.421940267,0.390344918,0.639461488,0.645700455
169,0.43675077,31.826742,0.423048854,0.392367423,0.639683872,0.645715684
170,0.437908828,32.01506591,0.429822803,0.392685294,0.64022094,0.646068215
171,0.440832913,32.20338983,0.430276215,0.394252658,0.640773505,0.646119148
172,0.441147447,32.39171375,0.430474162,0.397043228,0.641287416,0.646445543
173,0.44168812,32.58003766,0.435032129,0.398818195,0.64196375,0.646903664
174,0.442870021,32.76836158,0.436225772,0.399514556,0.642280221,0.646932334
175,0.446225345,32.9566855,0.439317584,0.401059806,0.642409086,0.64725697
176,0.446546912,33.14500942,0.439996362,0.401505291,0.643675685,0.647338837
177,0.448104799,33.33333333,0.441590548,0.401533008,0.643737972,0.648054481
178,0.449508905,33.52165725,0.442281604,0.402674198,0.644544303,0.649016172
179,0.451231182,33.70998117,0.445259154,0.40478313,0.64663437,0.64949286
180,0.453038037,33.89830508,0.446216106,0.405407608,0.648997337,0.649662793
181,0.455447137,34.086629,0.446796834,0.405449033,0.652103662,0.650562257
182,0.455520153,34.27495292,0.447962165,0.408462882,0.654065788,0.651648074
183,0.457164526,34.46327684,0.449270844,0.408551455,0.654973567,0.652263135
184,0.457746446,34.65160075,0.449818075,0.409784555,0.655882001,0.65301913
185,0.460245252,34.83992467,0.455228269,0.410384119,0.656311512,0.654136568
186,0.460709274,35.02824859,0.456128359,0.414292455,0.657378793,0.654187351
187,0.462122977,35.2165725,0.457639396,0.418998897,0.6587421,0.654314518
188,0.463210285,35.40489642,0.458587706,0.421919107,0.658964634,0.655276835
189,0.464835525,35.59322034,0.460137606,0.422800064,0.659414291,0.656122595
190,0.464923978,35.78154426,0.460184991,0.423306942,0.65981853,0.658812255
191,0.464965701,35.96986817,0.460257411,0.426028669,0.659983635,0.659151316
192,0.46662873,36.15819209,0.460407317,0.428510606,0.661441028,0.66058141
193,0.46739459,36.34651601,0.464706302,0.430996835,0.662518084,0.661091715
194,0.467593372,36.53483992,0.467532158,0.43462646,0.663271576,0.661549628
195,0.467863858,36.72316384,0.46915555,0.436146617,0.663879871,0.662276775
196,0.468007803,36.91148776,0.46929723,0.436791301,0.664011151,0.662734509
197,0.468701839,37.09981168,0.470016599,0.437606037,0.664203554,0.663944006
198,0.46974802,37.28813559,0.471254468,0.437662244,0.665381253,0.664360046
199,0.47017777,37.47645951,0.474676132,0.440162659,0.665586799,0.664546251
200,0.471979797,37.66478343,0.476065397,0.441490531,0.665988117,0.665508211
201,0.472455859,37.85310734,0.476228356,0.446179926,0.666102588,0.665670633
202,0.477186382,38.04143126,0.476740837,0.449693263,0.666535378,0.66608119
203,0.477396071,38.22975518,0.476780474,0.452047646,0.667397916,0.668793589
204,0.4794119,38.4180791,0.479782641,0.45275712,0.669057459,0.669716477
205,0.483041823,38.60640301,0.48194319,0.454190195,0.669224977,0.669863939
206,0.485427797,38.79472693,0.483320832,0.457386613,0.669941753,0.670045465
207,0.485804379,38.98305085,0.483368099,0.459133387,0.670472622,0.670200169
208,0.486495197,39.17137476,0.485809803,0.46018374,0.670634687,0.670217872
209,0.492574275,39.35969868,0.487342536,0.460879624,0.670748919,0.670347154
210,0.493072689,39.5480226,0.490959883,0.464550614,0.671783507,0.670797825
211,0.493486285,39.73634652,0.491531134,0.465687573,0.673085481,0.670876563
212,0.496358991,39.92467043,0.493984282,0.467085183,0.673967272,0.671121448
213,0.496995628,40.11299435,0.494227946,0.467576742,0.674336404,0.671907008
214,0.498154283,40.30131827,0.496560037,0.467966676,0.674381346,0.673867106
215,0.500039339,40.48964218,0.500450969,0.468302786,0.674426466,0.67393434
216,0.502712578,40.6779661,0.50303179,0.468764663,0.676730096,0.675127327
217,0.504752576,40.86629002,0.505020827,0.474803507,0.677257836,0.676665753
218,0.51171422,41.05461394,0.506507456,0.476463675,0.678411484,0.677120537
219,0.511973441,41.24293785,0.506829619,0.476873696,0.678769529,0.678279251
220,0.514287859,41.43126177,0.507766068,0.477348924,0.678792059,0.678565472
221,0.514910877,41.61958569,0.508103758,0.478660107,0.679789871,0.678577751
222,0.515493542,41.8079096,0.510319084,0.480339587,0.679927617,0.678614229
223,0.516054094,41.99623352,0.510659158,0.480454266,0.680003643,0.678890795
224,0.516428083,42.18455744,0.512048483,0.483289123,0.680107445,0.678968936
225,0.517766893,42.37288136,0.512295485,0.483782053,0.681024373,0.679356426
226,0.518306553,42.56120527,0.514591634,0.484664798,0.681587398,0.6795609
227,0.520185322,42.74952919,0.515582412,0.488147736,0.682650745,0.68065989
228,0.52533102,42.93785311,0.519295901,0.489144146,0.6831806,0.680855542
229,0.526764929,43.12617702,0.522171021,0.48979789,0.683223099,0.680869132
230,0.529631168,43.31450094,0.526676446,0.496132493,0.684220254,0.68105498
231,0.53312254,43.50282486,0.52846548,0.497598588,0.686108887,0.682661206
232,0.533328384,43.69114878,0.528754711,0.500047714,0.686520725,0.682831556
233,0.534449041,43.87947269,0.530134469,0.500992149,0.686592847,0.683104575
234,0.535936654,44.06779661,0.530171514,0.502601594,0.687111437,0.683307409
235,0.537149578,44.25612053,0.531169266,0.503399491,0.687243491,0.684135854
236,0.537888736,44.44444444,0.535286903,0.503686488,0.688957721,0.684315562
237,0.538255006,44.63276836,0.535398066,0.50476563,0.69007507,0.684759319
238,0.538715303,44.82109228,0.537456751,0.505927294,0.690525353,0.686341941
239,0.540619612,45.0094162,0.538012564,0.506497264,0.690713078,0.686724037
240,0.540691316,45.19774011,0.538917959,0.507330298,0.690724641,0.687014997
241,0.540972352,45.38606403,0.539958149,0.512529254,0.691200763,0.688015372
242,0.542075127,45.57438795,0.540509522,0.512628049,0.692100197,0.68846637
243,0.542454869,45.76271186,0.542208523,0.513418734,0.692483455,0.690717399
244,0.542520076,45.95103578,0.542912096,0.518105626,0.692585379,0.690808177
245,0.54348892,46.1393597,0.54397285,0.518132716,0.692608505,0.690872401
246,0.544788033,46.32768362,0.546058685,0.518209606,0.692721516,0.690962791
247,0.547002256,46.51600753,0.546681881,0.519686848,0.693119347,0.69117716
248,0.547284573,46.70433145,0.547475457,0.521971315,0.693152696,0.692313999
249,0.548724532,46.89265537,0.548559874,0.52407971,0.693541378,0.692687303
250,0.549900025,47.08097928,0.548756599,0.525608122,0.693547845,0.693992525
251,0.551011741,47.2693032,0.548928499,0.526211321,0.694961607,0.695006788
252,0.55211091,47.45762712,0.549652338,0.526236713,0.695117444,0.695310205
253,0.553851157,47.64595104,0.550243706,0.528526396,0.695327103,0.695367098
254,0.554180652,47.83427495,0.550565809,0.52911064,0.695405543,0.695647269
255,0.555407912,48.02259887,0.551008523,0.529602081,0.695418477,0.695686787
256,0.556530565,48.21092279,0.552355886,0.532532036,0.696146935,0.695991963
257,0.558229387,48.3992467,0.552631766,0.536145031,0.696160823,0.700081021
258,0.558701247,48.58757062,0.553531289,0.536202997,0.696518481,0.700209856
259,0.559028119,48.77589454,0.554484218,0.536255211,0.697164506,0.700450689
260,0.55931139,48.96421846,0.557791054,0.542119235,0.697653532,0.700705528
261,0.560505569,49.15254237,0.558345079,0.542552412,0.698871404,0.70083046
262,0.56051302,49.34086629,0.560072392,0.544956475,0.699236989,0.701097369
263,0.560930073,49.52919021,0.560309321,0.545136452,0.700183421,0.701485485
264,0.561645627,49.71751412,0.561116755,0.545922369,0.700206012,0.70156759
265,0.562827587,49.90583804,0.563487828,0.547182798,0.700501442,0.701720029
266,0.564925373,50.09416196,0.566259801,0.547931969,0.700613856,0.701834857
267,0.567815185,50.28248588,0.566554427,0.548146993,0.700916469,0.702793211
268,0.568930715,50.47080979,0.569429636,0.55164513,0.701378912,0.703182787
269,0.57166785,50.65913371,0.570332289,0.551914483,0.70377931,0.703739524
270,0.572443008,50.84745763,0.571106672,0.552942783,0.7060588,0.704109281
271,0.574868023,51.03578154,0.572240591,0.556274831,0.706132799,0.704653144
272,0.575820833,51.22410546,0.572499335,0.556557477,0.706284404,0.704731733
273,0.576440006,51.41242938,0.573963463,0.558225453,0.706291109,0.704861969
274,0.576588541,51.6007533,0.575559467,0.558729708,0.706687152,0.70491913
275,0.576924592,51.78907721,0.575733572,0.562450141,0.70705393,0.706210673
276,0.577326,51.97740113,0.578803867,0.564817429,0.708145738,0.706729323
277,0.578569651,52.16572505,0.57941848,0.565815151,0.709002763,0.707001507
278,0.579595625,52.35404896,0.580283493,0.567391247,0.70981589,0.707613498
279,0.581220686,52.54237288,0.585406125,0.57036984,0.709985018,0.707707256
280,0.58178854,52.7306968,0.585807681,0.570594311,0.712362766,0.708520949
281,0.582263708,52.91902072,0.587255001,0.571060449,0.712912977,0.708865643
282,0.583515823,53.10734463,0.587995946,0.571519703,0.713422239,0.709022343
283,0.584481299,53.29566855,0.588987827,0.572752357,0.713699937,0.70932588
284,0.587679029,53.48399247,0.589893997,0.57278195,0.714077055,0.710635543
285,0.587990254,53.67231638,0.592164963,0.573303223,0.714230061,0.711108685
286,0.588588953,53.8606403,0.592230141,0.574405551,0.714232177,0.712045848
287,0.59243995,54.04896422,0.593066037,0.574653447,0.714249015,0.712190896
288,0.594674557,54.23728814,0.594055027,0.574848533,0.714313477,0.712193221
289,0.596259326,54.42561205,0.595529169,0.575751811,0.716078311,0.713753223
290,0.596957415,54.61393597,0.596095622,0.575868815,0.717172712,0.714126527
291,0.597971201,54.80225989,0.596383005,0.576103181,0.717289358,0.714309692
292,0.59866941,54.9905838,0.596781403,0.577104777,0.717409641,0.714427024
293,0.599800855,55.17890772,0.597802043,0.577580839,0.71873796,0.714813054
294,0.600149065,55.36723164,0.599317878,0.577806294,0.718771517,0.715090841
295,0.600984782,55.55555556,0.599901795,0.578460395,0.718880355,0.715854764
296,0.601025552,55.74387947,0.604310066,0.5791246,0.719305247,0.716892689
297,0.601119906,55.93220339,0.605935156,0.583572447,0.719736457,0.716914564
298,0.60203439,56.12052731,0.606767386,0.584508061,0.720106035,0.717550516
299,0.603337109,56.30885122,0.608338833,0.584955364,0.721845478,0.71761179
300,0.605511904,56.49717514,0.609055132,0.586122692,0.722989172,0.717772663
301,0.605558544,56.68549906,0.610204846,0.58639577,0.723597229,0.718070537
302,0.606159031,56.87382298,0.611105412,0.587604105,0.723862529,0.718145728
303,0.607431203,57.06214689,0.611557633,0.588429809,0.724072725,0.719245076
304,0.607598424,57.25047081,0.612655193,0.592769176,0.724132687,0.719953269
305,0.608067274,57.43879473,0.61284411,0.593558252,0.725144029,0.721983403
306,0.608717382,57.62711864,0.613311529,0.595451325,0.725505263,0.721992821
307,0.610396504,57.81544256,0.614676416,0.597534567,0.725918472,0.722362041
308,0.611844063,58.00376648,0.615185738,0.597847581,0.726818919,0.723183244
309,0.612045348,58.1920904,0.616091996,0.598803967,0.726874858,0.723236054
310,0.612694651,58.38041431,0.61788547,0.604116678,0.726928562,0.723389655
311,0.612999797,58.56873823,0.620535016,0.605453759,0.728252679,0.723519057
312,0.618068963,58.75706215,0.621033043,0.605777144,0.729587972,0.723741531
313,0.619966298,58.94538606,0.622759223,0.611033797,0.730259538,0.724207252
314,0.624961585,59.13370998,0.623103768,0.61140132,0.730487019,0.725092411
315,0.626536131,59.3220339,0.627546787,0.611532837,0.731355458,0.725328594
316,0.626745343,59.51035782,0.627853036,0.614297599,0.731412619,0.725611418
317,0.62792173,59.69868173,0.628398448,0.615611821,0.732057482,0.72573936
318,0.629113883,59.88700565,0.630377531,0.61632514,0.732781619,0.726108372
319,0.633239925,60.07532957,0.63313961,0.618726403,0.733928382,0.726498753
320,0.635971993,60.26365348,0.634408444,0.619731039,0.734735757,0.726728827
321,0.636265337,60.4519774,0.635119975,0.621324271,0.734736234,0.727086812
322,0.637190312,60.64030132,0.639209837,0.622490674,0.735239595,0.727133602
323,0.637356281,60.82862524,0.640401721,0.622844756,0.735246599,0.72832787
324,0.637366563,61.01694915,0.640906453,0.623101503,0.736025393,0.729160398
325,0.637414217,61.20527307,0.642395735,0.627559006,0.736109912,0.729939461
326,0.637460083,61.39359699,0.644043773,0.627857149,0.73648122,0.730367422
327,0.638315469,61.5819209,0.644495964,0.629439145,0.73659566,0.730854124
328,0.639156163,61.77024482,0.646614045,0.631687582,0.7377325,0.731200308
329,0.641822755,61.95856874,0.647645622,0.632562995,0.737943292,0.731382042
330,0.643894762,62.14689266,0.649167567,0.634440601,0.738598943,0.731755584
331,0.645282984,62.33521657,0.651102453,0.639426917,0.739379972,0.731998682
332,0.645961732,62.52354049,0.652503401,0.639780939,0.739436537,0.732096732
333,0.649754137,62.71186441,0.652720064,0.639896899,0.739720345,0.732099295
334,0.650303662,62.90018832,0.654730529,0.64066276,0.739881009,0.732211798
335,0.651402354,63.08851224,0.655237079,0.640855491,0.740212977,0.733933032
336,0.652397335,63.27683616,0.65727061,0.641614258,0.742038459,0.734845489
337,0.656446159,63.46516008,0.657792836,0.642223895,0.742695659,0.734903276
338,0.656512797,63.65348399,0.657915384,0.643787533,0.742765993,0.736034542
339,0.657474071,63.84180791,0.658078343,0.644375265,0.743459821,0.737477779
340,0.657668144,64.03013183,0.658576459,0.645199239,0.744759858,0.739211142
341,0.658141583,64.21845574,0.659100294,0.647181928,0.745173603,0.739410788
342,0.658609748,64.40677966,0.66049999,0.647464812,0.745218992,0.739706039
343,0.65869087,64.59510358,0.6609492,0.648921818,0.745385855,0.740270346
344,0.661495656,64.7834275,0.662179917,0.649739593,0.745950788,0.741004288
345,0.662584394,64.97175141,0.663936347,0.650663674,0.746363044,0.74319154
346,0.663415879,65.16007533,0.664550483,0.652175605,0.74656859,0.744623929
347,0.663695097,65.34839925,0.666199535,0.656548083,0.747220695,0.744630128
348,0.66389972,65.53672316,0.666947514,0.658975065,0.747827321,0.745757192
349,0.664137721,65.72504708,0.66715762,0.659980118,0.748869598,0.746346414
350,0.665658891,65.913371,0.667171568,0.660810292,0.74908179,0.746592849
351,0.666527957,66.10169492,0.66801703,0.662658513,0.749125153,0.746714622
352,0.66675517,66.29001883,0.669135451,0.663397223,0.749481857,0.746718258
353,0.667412043,66.47834275,0.669204891,0.664826274,0.749843061,0.746734023
354,0.668625414,66.66666667,0.671826154,0.665282547,0.750249684,0.747073889
355,0.669413626,66.85499058,0.673352897,0.666033328,0.750398174,0.747671962
356,0.670088917,67.0433145,0.674217343,0.666143358,0.750420198,0.748016924
357,0.670792818,67.23163842,0.676314801,0.666768342,0.751256287,0.74827981
358,0.671055764,67.41996234,0.678539276,0.667901754,0.751478866,0.748502374
359,0.671454906,67.60828625,0.683422387,0.668003649,0.752531514,0.750647277
360,0.673503101,67.79661017,0.684028327,0.669230998,0.753441527,0.751214117
361,0.674364269,67.98493409,0.689209551,0.670548975,0.753621861,0.752437577
362,0.677690238,68.173258,0.693996459,0.671432555,0.753743708,0.752510294
363,0.683147848,68.36158192,0.694648445,0.672458947,0.754570886,0.75284712
364,0.683288515,68.54990584,0.694673747,0.673650861,0.754822925,0.75442344
365,0.683471322,68.73822976,0.698538184,0.680442393,0.756050378,0.754810244
