531,,100seq-100,LSTM,Transformer Encoder,Full Transformer
97,,0.295015812,0.546515524,0.559370846,18.26741996
98,,0.295015812,0.5475007,0.561352193,18.45574388
99,,0.296866417,0.547748178,0.566185623,18.6440678
100,,0.297345996,0.547909141,0.567638069,18.83239171
101,,0.299949944,0.549868435,0.567750782,19.02071563
102,,0.300417602,0.551299274,0.569239885,19.20903955
103,,0.302181721,0.553834468,0.570333093,19.39736347
104,,0.303323925,0.55769363,0.572582096,19.58568738
105,,0.30422616,0.561458319,0.574998498,19.7740113
106,,0.304502726,0.565183401,0.575338423,19.96233522
107,,0.304736912,0.569559216,0.576227874,20.15065913
108,,0.306351423,0.574400991,0.576603085,20.33898305
109,,0.307871819,0.575045437,0.57708618,20.52730697
110,,0.311179042,0.575181961,0.583136261,20.71563089
111,,0.312611222,0.578484565,0.583303422,20.9039548
112,,0.313788354,0.580186367,0.584348142,21.09227872
113,,0.314486921,0.582001626,0.586499691,21.28060264
114,,0.316213191,0.583212018,0.587253988,21.46892655
115,,0.316904187,0.583682477,0.588317424,21.65725047
116,,0.318882704,0.585788012,0.589005321,21.84557439
117,,0.32468009,0.587285906,0.589712888,22.03389831
118,,0.326497138,0.588801175,0.591902077,22.22222222
119,,0.328708351,0.590866327,0.592553049,22.41054614
120,,0.32885325,0.593362868,0.592694253,22.59887006
121,,0.339150846,0.594435036,0.595805913,22.78719397
122,,0.339356184,0.596548706,0.599947453,22.97551789
123,,0.34046787,0.596722811,0.601375729,23.16384181
124,,0.342807114,0.596965224,0.601578057,23.35216573
125,,0.346522212,0.597242951,0.601988196,23.54048964
126,,0.34850812,0.599674284,0.602309644,23.72881356
127,,0.349987328,0.599710464,0.602416515,23.91713748
128,,0.351581454,0.601745695,0.60256657,24.10546139
129,,0.353090465,0.603083134,0.603169501,24.29378531
130,,0.353664815,0.603789151,0.603697032,24.48210923
131,,0.354765475,0.604399711,0.603872359,24.67043315
132,,0.357099533,0.605177641,0.604669839,24.85875706
133,,0.359607518,0.606444925,0.605498195,25.04708098
134,,0.364062667,0.606615663,0.605682462,25.2354049
135,,0.368795514,0.608656049,0.605818748,25.42372881
136,,0.370597422,0.608731091,0.606589079,25.61205273
137,,0.370745301,0.612475902,0.606942564,25.80037665
138,,0.37529999,0.613064051,0.607240945,25.98870056
139,,0.375666499,0.617287427,0.607358247,26.17702448
140,,0.37586832,0.617459148,0.607676387,26.3653484
141,,0.378522277,0.61904636,0.609353632,26.55367232
142,,0.382798493,0.62055254,0.610333532,26.74199623
143,,0.383104742,0.622331917,0.61121428,26.93032015
144,,0.383225679,0.622776777,0.6135782,27.11864407
145,,0.386051774,0.623563677,0.613700897,27.30696798
146,,0.387394845,0.627736211,0.61817804,27.4952919
147,,0.387741983,0.630444169,0.620683134,27.68361582
148,,0.388211727,0.631094128,0.620739371,27.87193974
149,,0.388715386,0.631268233,0.6208269,28.06026365
150,,0.390033662,0.631390631,0.620855957,28.24858757
151,,0.390686393,0.631912768,0.621516883,28.43691149
152,,0.391463101,0.632280082,0.623010814,28.6252354
153,,0.392744541,0.634203643,0.62315467,28.81355932
154,,0.393428028,0.634647012,0.623888522,29.00188324
155,,0.394261122,0.637553245,0.626369745,29.19020716
156,,0.395066142,0.637842923,0.628367335,29.37853107
157,,0.395865202,0.638552159,0.629710823,29.56685499
158,,0.400466084,0.639141202,0.630249351,29.75517891
159,,0.401316941,0.639239222,0.63025555,29.94350282
160,,0.402400434,0.640581787,0.630536258,30.13182674
161,,0.406191528,0.641034931,0.633667082,30.32015066
162,,0.409377635,0.642798245,0.634475589,30.50847458
163,,0.410516024,0.643744528,0.634676993,30.69679849
164,,0.41173619,0.644368142,0.635235369,30.88512241
165,,0.411800206,0.644395649,0.635498673,31.07344633
166,,0.41373843,0.644480139,0.635954469,31.26177024
167,,0.416322529,0.64568004,0.638141781,31.45009416
168,,0.419197977,0.645700455,0.639461488,31.63841808
169,,0.423199356,0.645715684,0.639683872,31.826742
170,,0.423786104,0.646068215,0.64022094,32.01506591
171,,0.424555123,0.646119148,0.640773505,32.20338983
172,,0.428109348,0.646445543,0.641287416,32.39171375
173,,0.432356298,0.646903664,0.64196375,32.58003766
174,,0.434933186,0.646932334,0.642280221,32.76836158
175,,0.437498629,0.64725697,0.642409086,32.9566855
176,,0.437784493,0.647338837,0.643675685,33.14500942
177,,0.437953234,0.648054481,0.643737972,33.33333333
178,,0.438512683,0.649016172,0.644544303,33.52165725
179,,0.440326333,0.64949286,0.64663437,33.70998117
180,,0.441531897,0.649662793,0.648997337,33.89830508
181,,0.44243443,0.650562257,0.652103662,34.086629
182,,0.44431448,0.651648074,0.654065788,34.27495292
183,,0.44480139,0.652263135,0.654973567,34.46327684
184,,0.445863366,0.65301913,0.655882001,34.65160075
185,,0.446380019,0.654136568,0.656311512,34.83992467
186,,0.447799325,0.654187351,0.657378793,35.02824859
187,,0.448020279,0.654314518,0.6587421,35.2165725
188,,0.448201358,0.655276835,0.658964634,35.40489642
189,,0.448343635,0.656122595,0.659414291,35.59322034
190,,0.448879063,0.658812255,0.65981853,35.78154426
191,,0.449572325,0.659151316,0.659983635,35.96986817
192,,0.449673891,0.66058141,0.661441028,36.15819209
193,,0.453378558,0.661091715,0.662518084,36.34651601
194,,0.454878032,0.661549628,0.663271576,36.53483992
195,,0.455226541,0.662276775,0.663879871,36.72316384
196,,0.456048071,0.662734509,0.664011151,36.91148776
197,,0.457016349,0.663944006,0.664203554,37.09981168
198,,0.457132399,0.664360046,0.665381253,37.28813559
199,,0.458103299,0.664546251,0.665586799,37.47645951
200,,0.46192795,0.665508211,0.665988117,37.66478343
201,,0.464513719,0.665670633,0.666102588,37.85310734
202,,0.466920912,0.66608119,0.666535378,38.04143126
203,,0.468344569,0.668793589,0.667397916,38.22975518
204,,0.468393683,0.669716477,0.669057459,38.4180791
205,,0.469768107,0.669863939,0.669224977,38.60640301
206,,0.475647748,0.670045465,0.669941753,38.79472693
207,,0.476918936,0.670200169,0.670472622,38.98305085
208,,0.479071856,0.670217872,0.670634687,39.17137476
209,,0.479310811,0.670347154,0.670748919,39.35969868
210,,0.48535496,0.670797825,0.671783507,39.5480226
211,,0.48723191,0.670876563,0.673085481,39.73634652
212,,0.488806248,0.671121448,0.673967272,39.92467043
213,,0.489021778,0.671907008,0.674336404,40.11299435
214,,0.490469873,0.673867106,0.674381346,40.30131827
215,,0.490876853,0.67393434,0.674426466,40.48964218
216,,0.491565824,0.675127327,0.676730096,40.6779661
217,,0.49195087,0.676665753,0.677257836,40.86629002
218,,0.492029488,0.677120537,0.678411484,41.05461394
219,,0.493250132,0.678279251,0.678769529,41.24293785
220,,0.498306334,0.678565472,0.678792059,41.43126177
221,,0.498829961,0.678577751,0.679789871,41.61958569
222,,0.499049544,0.678614229,0.679927617,41.8079096
223,,0.499368727,0.678890795,0.680003643,41.99623352
224,,0.502124131,0.678968936,0.680107445,42.18455744
225,,0.503603011,0.679356426,0.681024373,42.37288136
226,,0.507370114,0.6795609,0.681587398,42.56120527
227,,0.508360654,0.68065989,0.682650745,42.74952919
228,,0.508762777,0.680855542,0.6831806,42.93785311
229,,0.511377931,0.680869132,0.683223099,43.12617702
230,,0.514028013,0.68105498,0.684220254,43.31450094
231,,0.51675579,0.682661206,0.686108887,43.50282486
232,,0.517618299,0.682831556,0.686520725,43.69114878
233,,0.518039316,0.683104575,0.686592847,43.87947269
234,,0.518812329,0.683307409,0.687111437,44.06779661
235,,0.519311726,0.684135854,0.687243491,44.25612053
236,,0.519730985,0.684315562,0.688957721,44.44444444
237,,0.520450622,0.684759319,0.69007507,44.63276836
238,,0.520797253,0.686341941,0.690525353,44.82109228
239,,0.52293396,0.686724037,0.690713078,45.0094162
240,,0.524509668,0.687014997,0.690724641,45.19774011
241,,0.524664313,0.688015372,0.691200763,45.38606403
242,,0.524868608,0.68846637,0.692100197,45.57438795
243,,0.524909616,0.690717399,0.692483455,45.76271186
244,,0.526954323,0.690808177,0.692585379,45.95103578
245,,0.52815026,0.690872401,0.692608505,46.1393597
246,,0.530758649,0.690962791,0.692721516,46.32768362
247,,0.53324914,0.69117716,0.693119347,46.51600753
248,,0.533575207,0.692313999,0.693152696,46.70433145
249,,0.534590244,0.692687303,0.693541378,46.89265537
250,,0.534828931,0.693992525,0.693547845,47.08097928
251,,0.53494069,0.695006788,0.694961607,47.2693032
252,,0.53654933,0.695310205,0.695117444,47.45762712
253,,0.536801249,0.695367098,0.695327103,47.64595104
254,,0.537973106,0.695647269,0.695405543,47.83427495
255,,0.540901721,0.695686787,0.695418477,48.02259887
256,,0.542803437,0.695991963,0.696146935,48.21092279
257,,0.543269753,0.700081021,0.696160823,48.3992467
258,,0.543959469,0.700209856,0.696518481,48.58757062
259,,0.544761032,0.700450689,0.697164506,48.77589454
260,,0.544867873,0.700705528,0.697653532,48.96421846
261,,0.547408611,0.70083046,0.698871404,49.15254237
262,,0.548438042,0.701097369,0.699236989,49.34086629
263,,0.551324904,0.701485485,0.700183421,49.52919021
264,,0.552330613,0.70156759,0.700206012,49.71751412
265,,0.55303213,0.701720029,0.700501442,49.90583804
266,,0.557760477,0.701834857,0.700613856,50.09416196
267,,0.558189869,0.702793211,0.700916469,50.28248588
268,,0.561129034,0.703182787,0.701378912,50.47080979
269,,0.563132316,0.703739524,0.70377931,50.65913371
270,,0.564224452,0.704109281,0.7060588,50.84745763
271,,0.564822525,0.704653144,0.706132799,51.03578154
272,,0.565386176,0.704731733,0.706284404,51.22410546
273,,0.56544888,0.704861969,0.706291109,51.41242938
274,,0.566392541,0.70491913,0.706687152,51.6007533
275,,0.568083942,0.706210673,0.70705393,51.78907721
276,,0.569532275,0.706729323,0.708145738,51.97740113
277,,0.569865018,0.707001507,0.709002763,52.16572505
278,,0.569936007,0.707613498,0.70981589,52.35404896
279,,0.57180962,0.707707256,0.709985018,52.54237288
280,,0.572270781,0.708520949,0.712362766,52.7306968
281,,0.572896659,0.708865643,0.712912977,52.91902072
282,,0.575077891,0.709022343,0.713422239,53.10734463
283,,0.57559064,0.70932588,0.713699937,53.29566855
284,,0.575619042,0.710635543,0.714077055,53.48399247
285,,0.57567063,0.711108685,0.714230061,53.67231638
286,,0.576139092,0.712045848,0.714232177,53.8606403
287,,0.577090502,0.712190896,0.714249015,54.04896422
288,,0.577202052,0.712193221,0.714313477,54.23728814
289,,0.577950627,0.713753223,0.716078311,54.42561205
290,,0.578882992,0.714126527,0.717172712,54.61393597
291,,0.581535995,0.714309692,0.717289358,54.80225989
292,,0.582832068,0.714427024,0.717409641,54.9905838
293,,0.583118111,0.714813054,0.71873796,55.17890772
294,,0.583775371,0.715090841,0.718771517,55.36723164
295,,0.583980709,0.715854764,0.718880355,55.55555556
296,,0.587813258,0.716892689,0.719305247,55.74387947
297,,0.588776469,0.716914564,0.719736457,55.93220339
298,,0.589855671,0.717550516,0.720106035,56.12052731
299,,0.591737807,0.71761179,0.721845478,56.30885122
300,,0.593746603,0.717772663,0.722989172,56.49717514
301,,0.596229136,0.718070537,0.723597229,56.68549906
302,,0.59649536,0.718145728,0.723862529,56.87382298
303,,0.596522868,0.719245076,0.724072725,57.06214689
304,,0.599243343,0.719953269,0.724132687,57.25047081
305,,0.602732301,0.721983403,0.725144029,57.43879473
306,,0.603479415,0.721992821,0.725505263,57.62711864
307,,0.603706896,0.722362041,0.725918472,57.81544256
308,,0.604537934,0.723183244,0.726818919,58.00376648
309,,0.605617791,0.723236054,0.726874858,58.1920904
310,,0.606098235,0.723389655,0.726928562,58.38041431
311,,0.606768698,0.723519057,0.728252679,58.56873823
312,,0.607850611,0.723741531,0.729587972,58.75706215
313,,0.611969858,0.724207252,0.730259538,58.94538606
314,,0.613933414,0.725092411,0.730487019,59.13370998
315,,0.616087943,0.725328594,0.731355458,59.3220339
316,,0.617401481,0.725611418,0.731412619,59.51035782
317,,0.623828173,0.72573936,0.732057482,59.69868173
318,,0.623876899,0.726108372,0.732781619,59.88700565
319,,0.624248177,0.726498753,0.733928382,60.07532957
320,,0.62622273,0.726728827,0.734735757,60.26365348
321,,0.626296192,0.727086812,0.734736234,60.4519774
322,,0.626538306,0.727133602,0.735239595,60.64030132
323,,0.628251106,0.72832787,0.735246599,60.82862524
324,,0.630392015,0.729160398,0.736025393,61.01694915
325,,0.630398512,0.729939461,0.736109912,61.20527307
326,,0.631638974,0.730367422,0.73648122,61.39359699
327,,0.633899599,0.730854124,0.73659566,61.5819209
328,,0.634527564,0.731200308,0.7377325,61.77024482
329,,0.6358459,0.731382042,0.737943292,61.95856874
330,,0.636498302,0.731755584,0.738598943,62.14689266
331,,0.637131304,0.731998682,0.739379972,62.33521657
332,,0.637913942,0.732096732,0.739436537,62.52354049
333,,0.639568686,0.732099295,0.739720345,62.71186441
334,,0.639828652,0.732211798,0.739881009,62.90018832
335,,0.641205668,0.733933032,0.740212977,63.08851224
336,,0.642384112,0.734845489,0.742038459,63.27683616
337,,0.644770592,0.734903276,0.742695659,63.46516008
338,,0.646259755,0.736034542,0.742765993,63.65348399
339,,0.646272451,0.737477779,0.743459821,63.84180791
340,,0.647473842,0.739211142,0.744759858,64.03013183
341,,0.647778004,0.739410788,0.745173603,64.21845574
342,,0.648873001,0.739706039,0.745218992,64.40677966
343,,0.648997366,0.740270346,0.745385855,64.59510358
344,,0.650635809,0.741004288,0.745950788,64.7834275
345,,0.651528895,0.74319154,0.746363044,64.97175141
346,,0.652615905,0.744623929,0.74656859,65.16007533
347,,0.652738869,0.744630128,0.747220695,65.34839925
348,,0.653029025,0.745757192,0.747827321,65.53672316
349,,0.656349331,0.746346414,0.748869598,65.72504708
350,,0.656980276,0.746592849,0.74908179,65.913371
351,,0.658623576,0.746714622,0.749125153,66.10169492
352,,0.659586936,0.746718258,0.749481857,66.29001883
353,,0.659665346,0.746734023,0.749843061,66.47834275
354,,0.660460472,0.747073889,0.750249684,66.66666667
355,,0.660726607,0.747671962,0.750398174,66.85499058
356,,0.66168806,0.748016924,0.750420198,67.0433145
357,,0.662220418,0.74827981,0.751256287,67.23163842
358,,0.665337503,0.748502374,0.751478866,67.41996234
359,,0.665673763,0.750647277,0.752531514,67.60828625
360,,0.665974796,0.751214117,0.753441527,67.79661017
361,,0.666367024,0.752437577,0.753621861,67.98493409
362,,0.667917669,0.752510294,0.753743708,68.173258
363,,0.672365576,0.75284712,0.754570886,68.36158192
364,,0.675701648,0.75442344,0.754822925,68.54990584
365,,0.68085143,0.754810244,0.756050378,68.73822976
366,,0.682016253,0.75493148,0.756553993,68.92655367
367,,0.682697505,0.754954144,0.756619647,69.11487759
368,,0.683239639,0.755522072,0.757115692,69.30320151
369,,0.683845669,0.75575085,0.757515773,69.49152542
370,,0.689258844,0.755835652,0.75811623,69.67984934
371,,0.690850735,0.756460845,0.759502277,69.86817326
372,,0.69142729,0.756641686,0.761531085,70.05649718
373,,0.691914052,0.757973552,0.761675805,70.24482109
374,,0.692446291,0.758145705,0.762280568,70.43314501
375,,0.692521751,0.75889045,0.762337416,70.62146893
376,,0.693368077,0.759215638,0.763618097,70.80979284
377,,0.69601509,0.759745091,0.763785824,70.99811676
378,,0.696651638,0.759858668,0.76403144,71.18644068
379,,0.697060943,0.760319054,0.764362067,71.3747646
380,,0.698802322,0.761164322,0.764466882,71.56308851
381,,0.701243609,0.761224493,0.765064195,71.75141243
382,,0.703577846,0.762422264,0.765377879,71.93973635
383,,0.705037266,0.763619766,0.765658662,72.12806026
384,,0.707533568,0.763749406,0.765903324,72.31638418
385,,0.709107488,0.763848469,0.766779527,72.5047081
386,,0.71095261,0.763864174,0.769351199,72.69303202
387,,0.711992472,0.764793485,0.769691855,72.88135593
388,,0.713798732,0.765020758,0.770386219,73.06967985
389,,0.715348601,0.76621604,0.770505384,73.25800377
390,,0.716249198,0.767846763,0.770539179,73.44632768
391,,0.716366708,0.769758359,0.771655127,73.6346516
392,,0.717926443,0.771246374,0.771948323,73.82297552
393,,0.718649387,0.771533906,0.772504732,74.01129944
394,,0.719666183,0.771940708,0.773080781,74.19962335
395,,0.720523477,0.773592323,0.773459211,74.38794727
396,,0.726967394,0.773739278,0.773556054,74.57627119
397,,0.732064217,0.773859978,0.773812681,74.7645951
398,,0.732755452,0.774932235,0.774148941,74.95291902
399,,0.732840598,0.774955899,0.774557978,75.14124294
400,,0.735835135,0.775252953,0.776917696,75.32956685
401,,0.737077534,0.775461972,0.777284548,75.51789077
402,,0.73950702,0.775579751,0.777472124,75.70621469
403,,0.740611076,0.776124299,0.778173804,75.89453861
404,,0.740965247,0.776159704,0.778709561,76.08286252
405,,0.740971446,0.777451426,0.778812453,76.27118644
406,,0.744106054,0.77772221,0.779313445,76.45951036
407,,0.747168213,0.778051704,0.779366165,76.64783427
408,,0.748820037,0.780514672,0.780010581,76.83615819
409,,0.750069812,0.781001478,0.78039813,77.02448211
410,,0.756857574,0.781729415,0.781923726,77.21280603
411,,0.75950475,0.781971917,0.782227516,77.40112994
412,,0.759564444,0.782553941,0.782754824,77.58945386
413,,0.75987339,0.783578232,0.78342025,77.77777778
414,,0.760978252,0.785339355,0.784150332,77.96610169
415,,0.764138505,0.785623148,0.784936234,78.15442561
416,,0.764891565,0.78742297,0.785772189,78.34274953
417,,0.768613786,0.788267732,0.786854386,78.53107345
418,,0.772526845,0.788763434,0.787047103,78.71939736
419,,0.773424476,0.789537489,0.788791671,78.90772128
420,,0.773913845,0.789678708,0.790107042,79.0960452
421,,0.775231287,0.789786309,0.791809753,79.28436911
422,,0.777789161,0.790343583,0.792152777,79.47269303
423,,0.781276092,0.790981203,0.792821467,79.66101695
424,,0.781371146,0.791740626,0.793291241,79.84934087
425,,0.782027513,0.791875854,0.794396773,80.03766478
426,,0.782165334,0.792518541,0.795353502,80.2259887
427,,0.782229066,0.793458447,0.795583516,80.41431262
428,,0.783592984,0.793512121,0.795899585,80.60263653
429,,0.784437805,0.79356648,0.795920312,80.79096045
430,,0.785961419,0.793652818,0.796143562,80.97928437
431,,0.787102446,0.7940761,0.796323478,81.16760829
432,,0.79452762,0.794244528,0.797410786,81.3559322
433,,0.794852868,0.794841945,0.799091697,81.54425612
434,,0.795426697,0.795601234,0.799103662,81.73258004
435,,0.797218606,0.796023965,0.799228549,81.92090395
436,,0.805965334,0.797095165,0.800146863,82.10922787
437,,0.807560354,0.798359722,0.800250098,82.29755179
438,,0.817135066,0.799184993,0.800908476,82.48587571
439,,0.817729995,0.7993339,0.801423535,82.67419962
440,,0.818480134,0.800281465,0.801494107,82.86252354
441,,0.82174699,0.800497934,0.801712215,83.05084746
442,,0.830181375,0.800571591,0.802381694,83.23917137
443,,0.838685587,0.802491933,0.80297552,83.42749529
444,,0.840180546,0.80308634,0.803323865,83.61581921
445,,0.841419399,0.803323761,0.803503811,83.80414313
446,,0.841465607,0.804134518,0.803554401,83.99246704
447,,0.842206135,0.804232463,0.803913206,84.18079096
448,,0.847888634,0.805199385,0.804403678,84.36911488
449,,0.848943636,0.805523887,0.805076852,84.55743879
450,,0.849828467,0.805889338,0.805106446,84.74576271
451,,0.850512117,0.805935428,0.807876274,84.93408663
452,,0.85235846,0.806062609,0.808805645,85.12241055
453,,0.856790349,0.806143463,0.809579954,85.31073446
454,,0.862055615,0.806534246,0.810026556,85.49905838
455,,0.864047378,0.807807177,0.810045511,85.6873823
456,,0.885953605,0.807820454,0.810198352,85.87570621
457,,0.897104912,0.808832154,0.812246084,86.06403013
458,,0.900895089,0.80932194,0.812493443,86.25235405
459,,0.903051913,0.80946207,0.813868478,86.44067797
460,,0.903577596,0.811075419,0.815184698,86.62900188
461,,0.904038899,0.812407032,0.815797463,86.8173258
462,,0.904478058,0.813669458,0.815871492,87.00564972
463,,0.906267554,0.815461889,0.817698732,87.19397363
464,,0.907740973,0.815980837,0.818127543,87.38229755
465,,0.908892006,0.81634675,0.818218902,87.57062147
466,,0.910099901,0.816434115,0.818953484,87.75894539
467,,0.917220727,0.816568941,0.81981343,87.9472693
468,,0.918226324,0.817667395,0.819951892,88.13559322
469,,0.920608304,0.817903504,0.820473582,88.32391714
470,,0.921039231,0.818333194,0.820977226,88.51224105
471,,0.92155797,0.81841737,0.821293429,88.70056497
472,,0.926527984,0.818796441,0.822083935,88.88888889
473,,0.927501082,0.819081232,0.823199481,89.07721281
474,,0.928318098,0.819335908,0.823873937,89.26553672
475,,0.930963889,0.819613591,0.823948383,89.45386064
476,,0.934539251,0.822294161,0.825607195,89.64218456
477,,0.937915474,0.822347924,0.82651341,89.83050847
478,,0.93796581,0.822416887,0.827015623,90.01883239
479,,0.940766603,0.822683662,0.827029854,90.20715631
480,,0.940867614,0.822964489,0.828222424,90.39548023
481,,0.942386966,0.823028758,0.829437211,90.58380414
482,,0.942596253,0.82303986,0.83036682,90.77212806
483,,0.942749053,0.825495839,0.830462515,90.96045198
484,,0.944500457,0.825557247,0.830854282,91.14877589
485,,0.948938563,0.82602863,0.83111313,91.33709981
486,,0.949937969,0.828613147,0.831315413,91.52542373
487,,0.952924285,0.829216793,0.831510231,91.71374765
488,,0.955955319,0.829796314,0.83419317,91.90207156
489,,0.960366417,0.830132142,0.834815636,92.09039548
490,,0.962612312,0.830756277,0.835577905,92.2787194
491,,0.964109823,0.831535235,0.836088762,92.46704331
492,,0.965777434,0.831694871,0.836317807,92.65536723
493,,0.965857062,0.831959501,0.836446881,92.84369115
494,,0.96586673,0.833950654,0.8365518,93.03201507
495,,0.968086399,0.835007787,0.837938413,93.22033898
496,,0.968597107,0.835756108,0.840121374,93.4086629
497,,0.969762841,0.836570755,0.841904551,93.59698682
498,,0.970072959,0.837715492,0.84195058,93.78531073
499,,0.971184662,0.838000834,0.842378736,93.97363465
500,,0.972084351,0.838740468,0.843347579,94.16195857
501,,0.972114839,0.838966653,0.847049102,94.35028249
502,,0.973792024,0.844839856,0.849465281,94.5386064
503,,0.974632738,0.845029518,0.850783497,94.72693032
504,,0.975642977,0.845875844,0.850984409,94.91525424
505,,0.975834308,0.846154392,0.851459697,95.10357815
506,,0.976911994,0.846280783,0.853106126,95.29190207
507,,0.97746709,0.846775711,0.853433162,95.48022599
508,,0.977617946,0.847262233,0.854147226,95.66854991
509,,0.977962103,0.848691151,0.854891971,95.85687382
510,,0.978782268,0.849083513,0.855370179,96.04519774
511,,0.979093244,0.849677145,0.855454132,96.23352166
512,,0.980272833,0.851012543,0.855776906,96.42184557
513,,0.981859226,0.852341563,0.855965033,96.61016949
514,,0.981967347,0.852391049,0.856039107,96.79849341
515,,0.982769411,0.853231177,0.856928498,96.98681733
516,,0.982878322,0.855794042,0.859174222,97.17514124
